日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3842.95,3763.4,3847.79,3763.2,19933136,34423226368.0,2.21,-1.68,-64.28,0.42
2010-01-05,3773.23,3781.69,3801.26,3718.69,28133614,50586611712.0,2.19,0.49,18.29,0.6
2010-01-06,3775.49,3763.61,3812.23,3760.14,24225713,46715641856.0,1.38,-0.48,-18.08,0.51
2010-01-07,3764.85,3693.5,3782.81,3674.17,24366988,44788805632.0,2.89,-1.86,-70.11,0.52
2010-01-08,3681.14,3703.36,3706.8,3652.07,18828322,33944805376.0,1.48,0.27,9.86,0.4
2010-01-11,3834.62,3694.34,3834.62,3678.18,30584814,53499715584.0,4.22,-0.24,-9.02,0.65
2010-01-12,3696.69,3738.4,3741.11,3633.08,30711306,56501399552.0,2.92,1.19,44.06,0.65
2010-01-13,3638.39,3598.88,3675.94,3587.97,35426197,64357789696.0,2.35,-3.73,-139.52,0.75
2010-01-14,3612.03,3645.26,3645.81,3578.93,23822480,44157186048.0,1.86,1.29,46.38,0.51
2010-01-15,3646.62,3663.42,3686.48,3623.78,22043739,40939606016.0,1.72,0.5,18.16,0.47
2010-01-18,3651.85,3675.45,3676.17,3641.26,24116633,43437334528.0,0.95,0.33,12.03,0.51
2010-01-19,3682.53,3688.52,3711.89,3677.9,22359176,42133643264.0,0.92,0.36,13.07,0.47
2010-01-20,3696.15,3577.38,3700.53,3565.66,26955826,49105985536.0,3.66,-3.01,-111.14,0.57
2010-01-21,3580.16,3593.08,3610.63,3542.91,21654933,41541464064.0,1.89,0.44,15.7,0.46
2010-01-22,3546.21,3552.99,3582.82,3471.66,27313855,48832360448.0,3.09,-1.12,-40.09,0.58
2010-01-25,3524.04,3513.24,3559.89,3510.41,16992214,30054934528.0,1.39,-1.12,-39.75,0.36
2010-01-26,3515.25,3429.08,3527.17,3405.31,19603222,34584293376.0,3.47,-2.4,-84.16,0.42
2010-01-27,3430.33,3378.29,3443.63,3365.89,17627133,30930878464.0,2.27,-1.48,-50.79,0.37
2010-01-28,3375.39,3383.0,3399.91,3340.83,15725819,27074840576.0,1.75,0.14,4.71,0.33
2010-01-29,3365.95,3380.68,3435.21,3350.54,16029837,27928705024.0,2.5,-0.07,-2.32,0.34
2010-02-01,3371.21,3327.95,3371.84,3286.93,17863155,29598760960.0,2.51,-1.56,-52.73,0.38
2010-02-02,3349.68,3326.66,3397.81,3323.39,15752852,27566792704.0,2.24,-0.04,-1.29,0.33
2010-02-03,3344.04,3421.74,3422.53,3269.46,19950796,35979902976.0,4.6,2.86,95.08,0.42
2010-02-04,3396.0,3399.47,3427.87,3378.66,16811754,28567588864.0,1.44,-0.65,-22.27,0.36
2010-02-05,3321.28,3329.5,3355.59,3303.37,16188340,27919364096.0,1.54,-2.06,-69.97,0.34
2010-02-08,3328.88,3318.17,3349.79,3299.3,11098708,19197693952.0,1.52,-0.34,-11.33,0.24
2010-02-09,3317.63,3335.22,3351.13,3314.27,9580514,16431989760.0,1.11,0.51,17.05,0.2
2010-02-10,3367.62,3392.87,3393.25,3356.36,10282125,19507175424.0,1.11,1.73,57.65,0.22
2010-02-11,3395.58,3398.84,3415.33,3385.85,10120501,17981845504.0,0.87,0.18,5.97,0.21
2010-02-12,3410.9,3428.98,3434.97,3405.83,9946786,19249080320.0,0.86,0.89,30.14,0.21
2010-02-22,3421.89,3401.87,3435.57,3400.12,10579857,18986176512.0,1.03,-0.79,-27.11,0.22
2010-02-23,3394.81,3361.26,3394.81,3316.5,11930148,21468581888.0,2.3,-1.19,-40.61,0.25
2010-02-24,3337.78,3405.16,3405.69,3323.83,12948446,22562859008.0,2.44,1.31,43.9,0.27
2010-02-25,3413.61,3469.44,3471.88,3413.1,20675017,37368324096.0,1.73,1.89,64.28,0.44
2010-02-26,3464.8,3465.37,3483.42,3452.17,16386883,28811859968.0,0.9,-0.12,-4.07,0.35
2010-03-01,3466.73,3504.47,3511.73,3466.12,16617422,28135927808.0,1.32,1.13,39.1,0.35
2010-03-02,3509.48,3497.62,3530.92,3486.21,17197433,30136217600.0,1.28,-0.2,-6.85,0.37
2010-03-03,3500.05,3518.62,3519.27,3477.61,15639158,27759368192.0,1.19,0.6,21.0,0.33
2010-03-04,3523.68,3437.77,3533.78,3432.01,18462500,33277046784.0,2.89,-2.3,-80.85,0.39
2010-03-05,3440.87,3443.84,3459.68,3424.89,12792997,22464616448.0,1.01,0.18,6.07,0.27
2010-03-08,3453.31,3470.62,3480.61,3443.39,11012391,19994865664.0,1.08,0.78,26.78,0.23
2010-03-09,3470.35,3493.45,3512.91,3437.05,16348458,28545634304.0,2.19,0.66,22.83,0.35
2010-03-10,3492.86,3465.66,3508.74,3456.95,12787546,23258953728.0,1.48,-0.8,-27.79,0.27
2010-03-11,3468.87,3466.5,3495.15,3441.7,14318031,26124800000.0,1.54,0.02,0.84,0.3
2010-03-12,3467.47,3419.01,3474.07,3418.27,10824560,19532857344.0,1.61,-1.37,-47.49,0.23
2010-03-15,3415.55,3361.91,3419.81,3352.21,10834907,18914721792.0,1.98,-1.67,-57.1,0.23
2010-03-16,3363.51,3388.77,3388.77,3347.65,9123426,16731199488.0,1.22,0.8,26.86,0.19
2010-03-17,3399.22,3461.44,3461.44,3387.39,14544865,25747140608.0,2.19,2.14,72.67,0.31
2010-03-18,3465.69,3457.04,3491.06,3445.42,14191541,25282603008.0,1.32,-0.13,-4.4,0.3
2010-03-19,3461.6,3477.59,3481.38,3438.18,12636206,22180665344.0,1.25,0.59,20.55,0.27
2010-03-22,3483.58,3491.22,3508.12,3478.76,13829156,24903297024.0,0.84,0.39,13.63,0.29
2010-03-23,3495.35,3471.32,3507.09,3465.55,12775970,23989135360.0,1.19,-0.57,-19.9,0.27
2010-03-24,3476.64,3472.83,3497.97,3468.47,12402138,23127119872.0,0.85,0.04,1.51,0.26
2010-03-25,3466.63,3418.14,3466.63,3411.19,13471104,23818223616.0,1.6,-1.57,-54.69,0.29
2010-03-26,3414.4,3466.71,3478.58,3406.93,13929691,24109244416.0,2.1,1.42,48.57,0.3
2010-03-29,3492.45,3566.82,3572.1,3489.77,28548600,47856111616.0,2.37,2.89,100.11,0.61
2010-03-30,3569.63,3578.74,3584.8,3557.05,17455100,31012691968.0,0.78,0.33,11.92,0.37
2010-03-31,3579.03,3555.26,3580.07,3547.31,15742902,28225861632.0,0.92,-0.66,-23.48,0.33
2010-04-01,3561.92,3607.26,3608.61,3561.92,21949581,37460619264.0,1.31,1.46,52.0,0.47
2010-04-02,3615.59,3622.85,3630.49,3607.33,21656004,41921867776.0,0.64,0.43,15.59,0.46
2010-04-06,3643.01,3619.8,3663.27,3599.26,22021291,41101217792.0,1.77,-0.08,-3.05,0.47
2010-04-07,3617.32,3595.44,3617.6,3574.43,17547460,32464726016.0,1.19,-0.67,-24.36,0.37
2010-04-08,3589.52,3540.03,3589.52,3528.77,20653664,37710041088.0,1.69,-1.54,-55.41,0.44
2010-04-09,3541.97,3570.86,3571.03,3531.64,15107885,28846581760.0,1.11,0.87,30.83,0.32
2010-04-12,3582.08,3517.17,3586.94,3496.31,23419055,42444128256.0,2.54,-1.5,-53.69,0.5
2010-04-13,3516.05,3559.74,3571.34,3489.3,23683287,44166803456.0,2.33,1.21,42.57,0.5
2010-04-14,3565.84,3569.0,3572.66,3544.24,18065690,35291959296.0,0.8,0.26,9.26,0.38
2010-04-15,3574.2,3557.76,3574.24,3527.02,18632251,34792226816.0,1.32,-0.31,-11.24,0.4
2010-04-16,3551.52,3510.15,3551.52,3501.43,16226734,29731946496.0,1.41,-1.34,-47.61,0.34
2010-04-19,3456.67,3298.56,3456.67,3294.22,30827524,53059796992.0,4.63,-6.03,-211.59,0.65
2010-04-20,3295.44,3273.96,3317.53,3232.31,20513686,35990065152.0,2.58,-0.75,-24.6,0.44
2010-04-21,3279.54,3339.45,3340.1,3255.48,21154064,38133653504.0,2.58,2.0,65.49,0.45
2010-04-22,3321.1,3288.56,3323.93,3262.99,23049485,40798093312.0,1.82,-1.52,-50.89,0.49
2010-04-23,3288.11,3285.67,3321.77,3262.38,21462920,42782625792.0,1.81,-0.09,-2.89,0.46
2010-04-26,3293.29,3262.41,3306.31,3258.24,17802958,32841322496.0,1.46,-0.71,-23.26,0.38
2010-04-27,3253.41,3194.28,3253.41,3144.05,22246635,37204422656.0,3.35,-2.09,-68.13,0.47
2010-04-28,3166.23,3183.3,3212.29,3144.17,13389982,25184593920.0,2.13,-0.34,-10.98,0.28
2010-04-29,3205.93,3146.11,3224.25,3145.89,16086402,29140723712.0,2.46,-1.17,-37.19,0.34
2010-04-30,3150.92,3163.11,3164.27,3100.12,17421840,30932682752.0,2.04,0.54,17.0,0.37
2010-05-04,3099.95,3106.03,3153.95,3087.65,14291173,23564464128.0,2.1,-1.8,-57.08,0.3
2010-05-05,3072.95,3130.7,3131.2,3036.08,19506564,31396648960.0,3.06,0.79,24.67,0.41
2010-05-06,3109.41,2966.67,3109.41,2964.98,19605768,34098165760.0,4.61,-5.24,-164.03,0.42
2010-05-07,2902.15,2907.68,2961.56,2878.41,19817968,33457336320.0,2.8,-1.99,-58.99,0.42
2010-05-10,2916.27,2939.03,2956.5,2879.01,16563347,27393781760.0,2.67,1.08,31.35,0.35
2010-05-11,3003.66,2881.25,3009.59,2869.13,17989230,29991321600.0,4.78,-1.97,-57.78,0.38
2010-05-12,2862.71,2904.56,2915.32,2836.37,16174316,25506453504.0,2.74,0.81,23.31,0.34
2010-05-13,2906.92,2981.79,2981.79,2902.52,17678008,27386411008.0,2.73,2.66,77.23,0.38
2010-05-14,2961.68,2956.2,2976.7,2936.89,12895067,21213734912.0,1.34,-0.86,-25.59,0.27
2010-05-17,2915.77,2798.81,2915.77,2795.46,16333915,25362733056.0,4.07,-5.32,-157.39,0.35
2010-05-18,2794.95,2875.14,2887.03,2776.98,19553033,27051573248.0,3.93,2.73,76.33,0.42
2010-05-19,2849.78,2865.98,2909.49,2825.23,15603316,22883723264.0,2.93,-0.32,-9.16,0.33
2010-05-20,2839.1,2835.3,2903.87,2830.13,15142991,23369453568.0,2.57,-1.07,-30.68,0.32
2010-05-21,2760.59,2892.16,2892.66,2752.13,21129597,28879198208.0,4.96,2.01,56.86,0.45
2010-05-24,2911.72,3008.61,3026.56,2911.72,28556344,41739292672.0,3.97,4.03,116.45,0.61
2010-05-25,2983.96,2937.04,2987.62,2918.02,19701517,28240001024.0,2.31,-2.38,-71.57,0.42
2010-05-26,2937.34,2935.47,2962.85,2916.95,13975231,19983273984.0,1.56,-0.05,-1.57,0.3
2010-05-27,2932.7,2981.43,2988.09,2891.14,18102066,25926801408.0,3.3,1.57,45.96,0.38
2010-05-28,3009.43,2966.14,3018.1,2949.89,17223824,25332621312.0,2.29,-0.51,-15.29,0.37
2010-05-31,2947.59,2882.09,2972.57,2881.39,15002392,22548781056.0,3.07,-2.83,-84.05,0.32
2010-06-01,2863.83,2846.94,2888.67,2815.63,13811762,20726011904.0,2.53,-1.22,-35.15,0.29
2010-06-02,2825.47,2864.72,2865.09,2805.92,13127510,19661510656.0,2.08,0.62,17.78,0.28
2010-06-03,2877.34,2839.8,2896.72,2839.34,13750389,19892191232.0,2.0,-0.87,-24.92,0.29
2010-06-04,2826.54,2854.63,2859.51,2817.88,11145194,17138197504.0,1.47,0.52,14.83,0.24
2010-06-07,2799.48,2799.07,2824.71,2776.36,13296338,19506561024.0,1.69,-1.95,-55.56,0.28
