日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,3785.28,3624.9,3791.48,3572.0,152394721,199734677504.0,5.83,-3.79,-142.99,0.64
2010-01-15,3767.65,3558.95,3767.65,3489.76,195993542,243470999552.0,7.67,-1.82,-65.95,0.82
2010-01-22,3545.08,3491.74,3613.38,3394.26,173676549,213861584896.0,6.16,-1.89,-67.21,0.73
2010-01-29,3453.95,3287.84,3495.91,3267.25,112019753,132118704128.0,6.55,-5.84,-203.9,0.47
2010-02-05,3279.07,3245.86,3343.35,3192.89,104908817,123990370304.0,4.58,-1.28,-41.98,0.44
2010-02-12,3245.58,3345.29,3347.32,3215.23,66646831,77093297152.0,4.07,3.06,99.43,0.28
2010-02-26,3337.29,3373.76,3391.17,3240.67,95788587,112435834880.0,4.5,0.85,28.47,0.4
2010-03-05,3377.91,3363.19,3443.86,3348.09,99752611,119801473024.0,2.84,-0.31,-10.57,0.42
2010-03-12,3372.32,3358.11,3441.87,3357.26,89560815,106387937280.0,2.52,-0.15,-5.08,0.37
2010-03-19,3355.2,3401.93,3410.92,3281.75,76303391,92350962688.0,3.85,1.3,43.82,0.32
2010-03-26,3404.74,3399.09,3435.58,3334.57,91939531,108621312000.0,2.97,-0.08,-2.84,0.38
2010-04-02,3423.24,3535.11,3539.04,3418.39,127902415,162234251264.0,3.55,4.0,136.02,0.53
2010-04-09,3554.62,3485.57,3579.98,3444.08,84881264,110223566848.0,3.84,-1.4,-49.54,0.35
2010-04-16,3492.67,3435.7,3503.21,3412.05,116892669,148975429632.0,2.62,-1.43,-49.87,0.49
2010-04-23,3384.45,3185.83,3384.45,3162.26,142263173,174572355584.0,6.47,-7.27,-249.87,0.59
2010-04-30,3193.22,3124.9,3202.07,3058.63,103330155,124039290880.0,4.5,-1.91,-60.93,0.43
2010-05-07,3068.72,2864.57,3109.13,2841.42,83461848,99937095680.0,8.57,-8.33,-260.33,0.35
2010-05-14,2871.3,2939.36,2975.99,2811.66,102491363,115136118784.0,5.74,2.61,74.79,0.43
2010-05-21,2899.82,2846.68,2899.82,2734.35,89726920,97407645696.0,5.63,-3.15,-92.68,0.38
2010-05-28,2863.38,2890.08,2955.44,2818.21,95432311,102541080576.0,4.82,1.52,43.4,0.4
2010-06-04,2872.47,2765.2,2894.12,2738.44,78881080,79184457728.0,5.39,-4.32,-124.88,0.33
2010-06-11,2715.69,2754.41,2790.16,2657.53,87854059,90536500224.0,4.8,-0.39,-10.79,0.37
2010-06-18,2778.02,2726.2,2783.6,2717.18,29166486,29799440384.0,2.41,-1.02,-28.21,0.12
2010-06-25,2735.42,2784.83,2835.7,2724.69,75836853,76705817600.0,4.07,2.15,58.63,0.32
2010-07-02,2781.54,2621.15,2807.73,2556.28,77140712,71519496192.0,9.03,-5.88,-163.68,0.32
2010-07-09,2593.89,2725.66,2746.03,2563.5,84313585,78856091648.0,6.96,3.99,104.51,0.35
2010-07-16,2721.95,2686.43,2768.03,2649.37,92080844,94176297984.0,4.35,-1.44,-39.23,0.39
2010-07-23,2661.97,2854.66,2872.12,2655.11,129976147,130749902848.0,8.08,6.26,168.23,0.54
2010-07-30,2859.57,2916.61,2944.37,2826.76,125870334,126318630912.0,4.12,2.17,61.95,0.53
2010-08-06,2913.39,2908.96,2974.7,2835.47,125645979,132638050304.0,4.77,-0.26,-7.65,0.53
2010-08-13,2902.65,2831.75,2931.85,2781.44,107998793,112146554880.0,5.17,-2.65,-77.21,0.45
2010-08-20,2824.65,2887.05,2950.81,2816.29,136077483,143228008448.0,4.75,1.95,55.3,0.57
2010-08-27,2884.39,2818.61,2915.27,2797.09,95455384,92630662144.0,4.09,-2.37,-68.44,0.4
2010-09-03,2831.77,2825.74,2869.55,2800.73,123237564,129230508032.0,2.44,0.25,7.13,0.52
2010-09-10,2839.78,2797.58,2911.21,2767.3,146558023,150248701952.0,5.09,-1.0,-28.16,0.61
2010-09-17,2795.62,2693.96,2830.11,2681.08,113812451,113759351808.0,5.33,-3.7,-103.62,0.48
2010-09-21,2697.0,2696.24,2706.8,2669.23,25466224,25487411200.0,1.39,0.08,2.28,0.11
2010-09-30,2703.96,2731.04,2734.48,2664.87,70825463,70164864000.0,2.58,1.29,34.8,0.3
2010-10-08,2760.8,2835.6,2844.56,2752.78,37429694,42685513728.0,3.36,3.83,104.56,0.16
2010-10-15,2857.54,3192.69,3192.69,2857.54,321820558,370021281792.0,11.82,12.59,357.09,1.35
2010-10-22,3222.51,3204.79,3324.78,3170.59,308931634,373553115136.0,4.83,0.38,12.1,1.29
2010-10-29,3209.65,3178.57,3321.64,3161.25,226086035,281980706816.0,5.0,-0.82,-26.22,0.95
2010-11-05,3185.99,3290.81,3327.62,3185.99,243334841,295472377856.0,4.46,3.53,112.24,1.02
2010-11-12,3304.39,3054.63,3324.38,3051.07,253998481,305250725888.0,8.31,-7.18,-236.18,1.06
2010-11-19,3062.19,2935.26,3076.33,2850.75,171201251,197154494464.0,7.38,-3.91,-119.37,0.72
2010-11-26,2903.13,2918.35,2949.17,2814.24,145164341,166539069440.0,4.6,-0.58,-16.91,0.61
2010-12-03,2908.69,2893.75,2924.03,2807.12,106880705,126180861952.0,4.01,-0.84,-24.6,0.45
2010-12-10,2902.01,2892.87,2951.11,2844.17,110031555,125187405824.0,3.7,-0.03,-0.88,0.46
2010-12-17,2902.02,2940.21,2998.05,2896.9,134734252,151557103616.0,3.5,1.64,47.34,0.56
2010-12-24,2949.31,2915.12,2977.09,2853.64,119416798,139853076480.0,4.2,-0.85,-25.09,0.5
2010-12-31,2933.2,2862.94,2968.99,2787.48,113291235,131260966912.0,6.23,-1.79,-52.18,0.47
2011-01-07,2886.83,2915.31,2954.72,2863.36,116719795,159702351872.0,3.19,1.83,52.37,0.49
2011-01-14,2907.27,2874.87,2932.66,2855.18,116566102,140356933632.0,2.66,-1.39,-40.44,0.49
2011-01-21,2855.04,2795.7,2865.12,2742.55,111516655,124908527616.0,4.26,-2.75,-79.17,0.47
2011-01-28,2797.5,2840.96,2850.81,2763.23,113164492,124126003200.0,3.13,1.62,45.26,0.47
2011-02-01,2839.16,2868.09,2874.45,2833.49,39760480,46153789440.0,1.44,0.95,27.13,0.17
2011-02-11,2849.6,2893.9,2903.9,2817.2,69795442,86124210176.0,3.02,0.9,25.81,0.29
2011-02-18,2896.12,2982.05,3032.97,2896.12,196478533,243686029312.0,4.73,3.05,88.15,0.82
2011-02-25,2966.11,2946.82,3023.05,2899.52,146234733,178451025920.0,4.14,-1.18,-35.23,0.61
2011-03-04,2949.82,3063.13,3066.85,2930.39,184454112,231581679616.0,4.63,3.95,116.31,0.77
2011-03-11,3079.1,3027.82,3156.43,3020.07,181083608,255782137856.0,4.45,-1.15,-35.31,0.76
2011-03-18,3025.28,2995.22,3044.26,2939.13,144726925,188944947200.0,3.47,-1.08,-32.6,0.61
2011-03-25,3002.19,3091.8,3102.78,2972.71,127111868,166510125056.0,4.34,3.22,96.58,0.53
2011-04-01,3104.73,3117.1,3136.49,3040.64,159142229,199697618944.0,3.1,0.82,25.3,0.67
2011-04-08,3119.06,3204.93,3207.26,3119.06,113374292,146311090176.0,2.83,2.82,87.83,0.47
2011-04-15,3211.58,3229.45,3250.43,3154.81,213531554,237159215104.0,2.98,0.77,24.52,0.89
2011-04-22,3215.17,3151.17,3246.36,3136.53,149795994,170656806912.0,3.4,-2.42,-78.28,0.63
2011-04-29,3141.68,3089.14,3141.94,3041.61,133526928,152059072512.0,3.18,-1.97,-62.03,0.56
2011-05-06,3087.35,2985.35,3104.18,2966.59,103965880,109002952704.0,4.45,-3.36,-103.79,0.43
2011-05-13,2990.46,2987.03,3020.66,2940.86,93413882,100482999296.0,2.67,0.06,1.68,0.39
2011-05-20,2977.76,2989.89,3017.16,2935.46,87475988,100151939072.0,2.74,0.1,2.86,0.37
2011-05-27,2983.75,2866.66,2983.81,2858.43,84878102,93833074688.0,4.19,-4.12,-123.23,0.35
2011-06-03,2860.66,2855.84,2909.93,2809.04,86703244,96216376320.0,3.52,-0.38,-10.82,0.36
