date,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2008-01-02,2008-01-02,100.03,99.99,100.17,99.88,50300,503095.0,0.0,0.0,0.0,0.0
2008-01-03,2008-01-03,100.01,99.86,100.02,99.79,27700,275453.0,0.23,-0.13,-0.13,0.0
2008-01-04,2008-01-04,99.88,100.02,100.06,99.88,31800,316583.0,0.18,0.16,0.16,0.0
2008-01-07,2008-01-07,100.07,100.11,100.2,100.07,84100,837849.0,0.13,0.09,0.09,0.0
2008-01-08,2008-01-08,100.12,100.18,100.18,100.12,46600,464424.0,0.06,0.07,0.07,0.0
2008-01-09,2008-01-09,100.2,100.22,100.26,100.18,26800,267252.0,0.08,0.04,0.04,0.0
2008-01-10,2008-01-10,100.23,100.21,100.29,100.05,33400,333022.0,0.24,-0.01,-0.01,0.0
2008-01-11,2008-01-11,100.23,100.09,100.23,100.03,44500,443161.0,0.2,-0.12,-0.12,0.0
2008-01-14,2008-01-14,100.14,100.16,100.21,100.14,20300,202618.0,0.07,0.07,0.07,0.0
2008-01-15,2008-01-15,100.18,100.27,100.35,100.18,138100,1381145.0,0.17,0.11,0.11,0.0
2008-01-16,2008-01-16,100.29,100.33,100.33,100.13,1223300,12275562.0,0.2,0.06,0.06,0.0
2008-01-17,2008-01-17,100.35,100.28,100.35,100.24,119000,1190198.0,0.11,-0.05,-0.05,0.0
2008-01-18,2008-01-18,100.29,100.29,100.29,100.28,159600,1601861.0,0.01,0.01,0.01,0.0
2008-01-21,2008-01-21,100.33,99.71,100.36,99.71,406600,3959306.0,0.65,-0.58,-0.58,0.0
2008-01-22,2008-01-22,99.73,100.14,100.2,99.62,2319400,23203876.0,0.58,0.43,0.43,0.0
2008-01-23,2008-01-23,100.15,100.84,101.0,99.91,966700,9807513.0,1.09,0.7,0.7,0.0
2008-01-24,2008-01-24,100.86,100.96,100.96,100.81,108800,1092498.0,0.15,0.12,0.12,0.0
2008-01-25,2008-01-25,100.97,100.47,100.97,100.09,83300,833559.0,0.87,-0.49,-0.49,0.0
2008-01-28,2008-01-28,100.52,100.29,100.52,100.04,52700,525280.0,0.48,-0.18,-0.18,0.0
2008-01-29,2008-01-29,100.5,100.43,100.5,100.29,45900,455969.0,0.21,0.14,0.14,0.0
2008-01-30,2008-01-30,100.44,100.73,100.88,100.44,127800,1279894.0,0.44,0.3,0.3,0.0
2008-01-31,2008-01-31,100.75,100.84,101.08,100.65,46400,466116.0,0.43,0.11,0.11,0.0
2008-02-01,2008-02-01,100.86,101.32,101.33,100.69,98300,983074.0,0.63,0.48,0.48,0.0
2008-02-04,2008-02-04,101.36,101.4,101.41,101.36,103200,1033177.0,0.05,0.08,0.08,0.0
2008-02-05,2008-02-05,101.42,101.59,101.59,101.42,341200,3421288.0,0.17,0.19,0.19,0.0
2008-02-13,2008-02-13,101.71,101.82,101.83,101.58,185300,1863930.0,0.25,0.23,0.23,0.0
2008-02-14,2008-02-14,101.84,102.08,102.29,101.83,94700,959166.0,0.45,0.26,0.26,0.0
2008-02-15,2008-02-15,102.1,102.09,102.24,102.05,42300,429189.0,0.19,0.01,0.01,0.0
2008-02-18,2008-02-18,102.13,101.96,102.2,101.82,92900,939303.0,0.37,-0.13,-0.13,0.0
2008-02-19,2008-02-19,101.97,101.85,101.97,101.82,25800,260976.0,0.15,-0.11,-0.11,0.0
2008-02-20,2008-02-20,101.86,101.54,101.95,101.54,63800,644088.0,0.4,-0.3,-0.31,0.0
2008-02-21,2008-02-21,101.55,101.06,101.92,101.06,100200,1004391.0,0.85,-0.47,-0.48,0.0
2008-02-22,2008-02-22,101.07,101.23,101.23,101.0,146700,1469453.0,0.23,0.17,0.17,0.0
2008-02-25,2008-02-25,101.27,101.31,101.32,101.04,43800,438451.0,0.28,0.08,0.08,0.0
2008-02-26,2008-02-26,101.33,101.35,101.36,101.21,42700,428662.0,0.15,0.04,0.04,0.0
2008-02-27,2008-02-27,101.37,101.45,101.46,101.34,23700,239497.0,0.12,0.1,0.1,0.0
2008-02-28,2008-02-28,101.47,101.28,101.47,101.22,20800,208305.0,0.25,-0.17,-0.17,0.0
2008-02-29,2008-02-29,101.28,101.77,101.79,101.28,129500,1310214.0,0.5,0.48,0.49,0.0
2008-03-03,2008-03-03,101.82,101.53,101.92,101.5,85700,858970.0,0.41,-0.24,-0.24,0.0
2008-03-04,2008-03-04,101.55,101.6,101.6,101.52,54600,546992.0,0.08,0.07,0.07,0.0
2008-03-05,2008-03-05,101.62,101.89,102.03,101.57,58500,588902.0,0.45,0.29,0.29,0.0
2008-03-06,2008-03-06,101.9,102.18,102.18,101.79,550500,5583252.0,0.38,0.28,0.29,0.0
2008-03-07,2008-03-07,102.2,102.41,102.41,102.15,257400,2612329.0,0.25,0.23,0.23,0.0
2008-03-10,2008-03-10,102.46,102.3,102.5,102.25,394500,3978414.0,0.24,-0.11,-0.11,0.0
2008-03-11,2008-03-11,102.31,102.43,102.47,102.27,1095600,11167786.0,0.2,0.13,0.13,0.0
2008-03-12,2008-03-12,102.44,102.58,102.65,102.43,1112600,11355267.0,0.21,0.15,0.15,0.0
2008-03-13,2008-03-13,102.6,102.64,103.76,102.6,152300,1534069.0,1.13,0.06,0.06,0.0
2008-03-14,2008-03-14,102.66,102.69,102.72,102.57,250700,2530551.0,0.15,0.05,0.05,0.0
2008-03-17,2008-03-17,102.73,102.68,102.85,102.66,1323300,13376206.0,0.19,-0.01,-0.01,0.0
2008-03-18,2008-03-18,102.69,102.8,102.9,102.69,716700,7378601.0,0.2,0.12,0.12,0.0
2008-03-19,2008-03-19,102.82,102.76,102.87,102.68,486100,5037519.0,0.18,-0.04,-0.04,0.0
2008-03-20,2008-03-20,102.77,102.78,102.84,102.29,1982100,20336758.0,0.54,0.02,0.02,0.0
2008-03-21,2008-03-21,102.8,102.81,102.93,102.75,16962200,169939520.0,0.18,0.03,0.03,0.0
2008-03-24,2008-03-24,102.86,103.04,103.04,102.85,1805200,18493368.0,0.18,0.22,0.23,0.0
2008-03-25,2008-03-25,103.06,103.23,103.23,103.06,835900,8657920.0,0.16,0.18,0.19,0.0
2008-03-26,2008-03-26,103.24,103.74,103.83,103.21,6747500,69307080.0,0.6,0.49,0.51,0.0
2008-03-27,2008-03-27,103.76,103.9,103.98,103.7,1854900,18909508.0,0.27,0.15,0.16,0.0
2008-03-28,2008-03-28,103.92,104.09,104.17,103.2,1029400,10430467.0,0.93,0.18,0.19,0.0
2008-03-31,2008-03-31,104.13,105.13,105.13,103.98,919500,9351746.0,1.1,1.0,1.04,0.0
2008-04-01,2008-04-01,105.14,105.08,105.23,104.89,764600,7890725.0,0.32,-0.05,-0.05,0.0
2008-04-02,2008-04-02,105.1,105.04,105.1,104.91,1449400,14710062.0,0.18,-0.04,-0.04,0.0
2008-04-03,2008-04-03,105.03,105.03,105.05,104.94,249400,2551860.0,0.1,-0.01,-0.01,0.0
2008-04-07,2008-04-07,105.09,105.05,105.12,105.04,2329700,23508944.0,0.08,0.02,0.02,0.0
2008-04-08,2008-04-08,105.06,104.98,105.09,104.84,5871900,59633088.0,0.24,-0.07,-0.07,0.0
