date,open,high,low,close,volume
2005-01-03,28.2745,28.3445,27.2645,27.3445,653400.0
2005-01-04,27.6545,27.6545,26.5945,26.8045,1626100.0
2005-01-05,26.7845,26.8945,26.2745,26.3945,631100.0
2005-01-06,26.4845,26.8845,26.3945,26.7245,521600.0
2005-01-07,26.8045,26.8945,26.3045,26.4845,920900.0
2005-01-10,26.4745,26.9645,26.4545,26.7445,809000.0
2005-01-11,26.5245,26.5745,26.1245,26.3345,1061800.0
2005-01-12,26.3745,26.5345,25.8345,26.4845,751000.0
2005-01-13,26.4045,26.6645,26.0445,26.1745,617600.0
2005-01-14,26.3545,26.6045,26.1345,26.5545,425000.0
2005-01-18,26.4845,27.2945,26.3345,27.2145,1487900.0
2005-01-19,27.2545,27.3045,26.6845,26.6845,1337000.0
2005-01-20,26.5945,26.6145,26.2445,26.3045,448800.0
2005-01-21,26.5445,26.6245,26.0045,26.0045,422200.0
2005-01-24,26.2545,26.4845,25.9445,26.0845,532500.0
2005-01-25,26.1145,26.4345,25.9745,26.1445,510500.0
2005-01-26,26.3045,26.4445,26.0845,26.2645,443500.0
2005-01-27,26.3345,26.6045,26.1345,26.3145,461000.0
2005-01-28,26.4145,26.4145,25.9545,26.2045,327500.0
2005-01-31,26.6945,26.9145,26.5945,26.8945,749900.0
2005-02-01,27.0145,27.5245,26.9345,27.4645,455300.0
2005-02-02,27.5145,27.8145,27.3745,27.7245,366600.0
2005-02-03,27.6045,27.7045,27.4045,27.6145,741800.0
2005-02-04,27.5945,28.4345,27.5945,28.3545,309200.0
2005-02-07,28.3345,28.4545,28.1445,28.2145,1038300.0
2005-02-08,28.3545,28.5045,28.2545,28.3745,394200.0
2005-02-09,28.4445,28.4745,27.9345,27.9545,440500.0
2005-02-10,28.1945,28.4145,28.0545,28.3445,863200.0
2005-02-11,28.3245,28.8945,28.1045,28.7045,532800.0
2005-02-14,28.5845,28.8145,28.5845,28.7445,575900.0
2005-02-15,28.8745,29.0645,28.7145,29.0045,329500.0
2005-02-16,28.9345,29.2545,28.7445,29.0745,334400.0
2005-02-17,29.2245,29.2245,28.6045,28.6545,794000.0
2005-02-18,28.6645,28.7145,28.4545,28.6545,504300.0
2005-02-22,28.3545,28.6745,27.5245,27.5245,601300.0
2005-02-23,27.9145,28.2245,27.7345,28.2045,1558900.0
2005-02-24,28.1645,28.6845,28.0245,28.6745,645900.0
2005-02-25,28.7245,29.4845,28.6845,29.3945,1840300.0
2005-02-28,29.2445,29.3745,28.6845,29.1245,665500.0
2005-03-01,29.2245,29.4245,29.1545,29.2645,1441400.0
2005-03-02,28.9945,29.6345,28.9945,29.3745,961700.0
2005-03-03,29.5645,29.6945,29.0945,29.4245,430900.0
2005-03-04,29.7845,30.3945,29.6845,30.3345,421800.0
2005-03-07,30.3145,30.4945,30.2445,30.3145,679400.0
2005-03-08,30.3045,30.3345,30.0045,30.0745,451000.0
2005-03-09,29.8645,30.0045,29.1345,29.2045,401400.0
2005-03-10,29.3445,29.3545,28.7745,29.2445,636700.0
2005-03-11,29.3445,29.6045,28.8445,28.9745,868000.0
2005-03-14,29.0845,29.5045,29.0445,29.5045,834000.0
2005-03-15,29.7845,29.7945,29.0345,29.0345,500400.0
2005-03-16,28.7645,28.8945,28.3545,28.5145,385600.0
2005-03-17,28.6545,28.8845,28.4745,28.7845,527600.0
2005-03-18,28.8745,28.8945,28.3645,28.5545,475100.0
2005-03-21,28.6345,28.7345,28.0845,28.4145,435000.0
2005-03-22,28.5145,28.7745,27.4945,27.4945,892900.0
2005-03-23,27.6045,27.6745,27.2445,27.4445,994000.0
