date,open,high,low,close,volume
2005-01-03,5.6889,5.6889,5.4989,5.5214,11400.0
2005-01-04,5.5739,5.5739,5.3389,5.3914,9600.0
2005-01-05,5.4264,5.4614,5.3764,5.3789,6100.0
2005-01-06,5.3664,5.4089,5.3539,5.3864,9900.0
2005-01-07,5.4339,5.4339,5.3839,5.3839,5900.0
2005-01-10,5.3614,5.5089,5.3614,5.4564,8700.0
2005-01-11,5.4014,5.4214,5.3839,5.4214,5700.0
2005-01-12,5.3939,5.4564,5.3839,5.4564,1900.0
2005-01-13,5.4364,5.4364,5.3064,5.3139,10900.0
2005-01-14,5.3764,5.3764,5.3339,5.3739,12900.0
2005-01-18,5.3089,5.4614,5.3089,5.4464,4800.0
2005-01-19,5.4614,5.4614,5.3689,5.3689,2800.0
2005-01-20,5.3064,5.3064,5.2214,5.2464,10300.0
2005-01-21,5.2714,5.2739,5.1414,5.1414,7000.0
2005-01-24,5.1789,5.1789,5.1089,5.1239,5500.0
2005-01-25,5.1914,5.2189,5.1489,5.1589,7400.0
2005-01-26,5.2239,5.2414,5.1964,5.2414,6800.0
2005-01-27,5.2339,5.2339,5.1689,5.2189,4700.0
2005-01-28,5.1964,5.1964,5.1264,5.1764,5600.0
2005-01-31,5.2614,5.2739,5.2439,5.2514,9100.0
2005-02-01,5.2739,5.3489,5.2664,5.3114,5500.0
2005-02-02,5.3489,5.3564,5.3264,5.3564,2900.0
2005-02-03,5.3114,5.3114,5.2664,5.3089,6700.0
2005-02-04,5.2964,5.4139,5.2964,5.3989,9100.0
2005-02-07,5.4214,5.4214,5.3764,5.3989,20000.0
2005-02-08,5.3389,5.4139,5.3389,5.3864,16400.0
2005-02-09,5.3464,5.3639,5.2789,5.2789,47600.0
2005-02-10,5.3339,5.5014,5.2639,5.3439,131400.0
2005-02-11,5.3014,5.4614,5.3014,5.4514,13400.0
2005-02-14,5.4389,5.4389,5.3889,5.4114,12400.0
2005-02-15,5.3689,5.4839,5.3689,5.4589,7000.0
2005-02-16,5.4464,5.4539,5.3989,5.4439,7100.0
2005-02-17,5.4264,5.4314,5.3514,5.3514,5200.0
2005-02-18,5.3464,5.3464,5.3014,5.3264,2500.0
2005-02-22,5.2464,5.3139,5.1689,5.1689,8700.0
2005-02-23,5.1714,5.2189,5.1464,5.2089,12100.0
2005-02-24,5.1889,5.2689,5.1439,5.2514,36500.0
2005-02-25,5.2839,5.3439,5.2839,5.3339,18700.0
2005-02-28,5.2914,5.3114,5.2039,5.2489,8600.0
2005-03-01,5.3264,5.3339,5.2914,5.3339,4400.0
2005-03-02,5.2964,5.3814,5.2789,5.3389,7900.0
2005-03-03,5.3489,5.3489,5.2864,5.3189,5600.0
2005-03-04,5.3589,5.4089,5.3564,5.3839,5000.0
2005-03-07,5.4189,5.4914,5.3789,5.4239,267300.0
2005-03-08,5.4314,5.4464,5.3814,5.3814,60800.0
2005-03-09,5.3214,5.3864,5.3164,5.3189,7800.0
2005-03-10,5.3389,5.3514,5.2689,5.3189,2300.0
2005-03-11,5.3239,5.3239,5.2239,5.2289,7500.0
2005-03-14,5.2514,5.2514,5.1964,5.2414,2000.0
2005-03-15,5.2839,5.2939,5.1814,5.1939,3800.0
2005-03-16,5.1464,5.1514,5.0639,5.1039,14500.0
2005-03-17,5.1239,5.1239,5.0964,5.1114,2400.0
2005-03-18,5.0339,5.1864,4.8889,4.9539,4700.0
2005-03-21,5.0264,5.0289,4.9539,4.9989,7000.0
2005-03-22,5.0214,5.0339,4.9189,4.9189,11000.0
2005-03-23,4.8864,4.9539,4.8864,4.9464,13500.0
2005-03-24,4.9689,5.0139,4.9514,4.9514,7100.0
2005-03-28,4.9714,5.0114,4.9689,5.0014,5900.0
2005-03-29,4.9614,5.0214,4.9114,4.9114,10200.0
2005-03-30,4.9614,5.0539,4.9564,5.0539,2900.0
2005-03-31,5.0339,5.0339,4.9564,4.9639,3800.0
2005-04-01,4.9839,5.0464,4.7989,4.7989,2000.0
2005-04-04,4.8214,4.9714,4.8014,4.9689,9200.0
2005-04-05,5.0489,5.0489,4.9539,4.9814,10600.0
2005-04-06,4.9839,5.0739,4.9839,5.0014,3600.0
2005-04-07,5.0039,5.0614,5.0039,5.0564,1800.0
2005-04-08,5.1089,5.1089,4.9589,4.9639,5700.0
2005-04-11,4.9589,4.9764,4.9289,4.9689,2600.0
2005-04-12,4.8714,5.0064,4.8589,5.0064,4100.0
2005-04-13,4.9764,4.9839,4.8514,4.8964,2300.0
2005-04-14,4.9214,4.9214,4.7764,4.7764,36000.0
2005-04-15,4.6589,4.7739,4.6564,4.6564,19800.0
2005-04-18,4.5714,4.6464,4.5714,4.6039,13800.0
2005-04-19,4.6139,4.6564,4.6139,4.6314,2900.0
2005-04-20,4.6089,4.6714,4.5339,4.5339,2500.0
2005-04-21,4.6864,4.7664,4.6389,4.7664,5800.0
2005-04-22,4.7589,4.7589,4.6064,4.6064,4600.0
2005-04-25,4.7589,4.7589,4.6964,4.7214,10200.0
2005-04-26,4.7439,4.7689,4.6714,4.6714,6200.0
2005-04-27,4.6064,4.7139,4.5764,4.7014,4100.0
2005-04-28,4.6714,4.6714,4.6139,4.6264,3200.0
2005-04-29,4.7089,4.7089,4.5539,4.6214,2900.0
2005-05-02,4.7964,4.7964,4.7589,4.7714,9700.0
2005-05-03,4.7689,4.8514,4.7689,4.7964,8600.0
2005-05-04,4.8914,4.9514,4.8639,4.9364,6900.0
2005-05-05,4.9664,4.9814,4.8964,4.9389,16200.0
2005-05-06,4.9839,4.9839,4.9189,4.9314,3000.0
2005-05-09,4.9314,4.9789,4.8989,4.9789,11500.0
2005-05-10,4.8914,4.9114,4.8464,4.8464,14900.0
2005-05-11,4.9064,4.9389,4.8414,4.9389,17900.0
2005-05-12,4.9389,4.9514,4.8539,4.8564,2700.0
2005-05-13,4.9089,4.9439,4.7964,4.8714,18500.0
