date,open,high,low,close,volume
2005-01-03,6.6777,6.6777,6.449,6.449,20000.0
2005-01-04,6.5065,6.509,6.2327,6.289,15400.0
2005-01-05,6.2815,6.3415,6.2352,6.2352,13400.0
2005-01-06,6.2852,6.3552,6.244,6.314,3600.0
2005-01-07,6.3427,6.3427,6.2577,6.2765,3600.0
2005-01-10,6.3115,6.3402,6.2352,6.2352,5200.0
2005-01-11,6.2277,6.2277,6.1565,6.2065,3400.0
2005-01-12,6.154,6.219,6.0715,6.219,3200.0
2005-01-13,6.2127,6.2477,6.1577,6.1577,5000.0
2005-01-14,6.129,6.1965,6.1065,6.1952,7000.0
2005-01-18,6.179,6.3852,6.1627,6.3852,4800.0
2005-01-19,6.3427,6.3427,6.244,6.244,1200.0
2005-01-20,6.199,6.199,6.124,6.124,2000.0
2005-01-21,6.1427,6.1677,6.069,6.0977,5800.0
2005-01-24,6.089,6.1652,6.0615,6.0715,4800.0
2005-01-25,6.1515,6.1515,6.0965,6.0965,2000.0
2005-01-26,6.1227,6.1702,6.0952,6.1702,1600.0
2005-01-27,6.1065,6.1902,6.104,6.1515,6800.0
2005-01-28,6.1052,6.1052,6.0202,6.0477,12000.0
2005-01-31,6.184,6.2202,6.1752,6.2202,9600.0
2005-02-01,6.2327,6.3302,6.2327,6.3215,2000.0
2005-02-02,6.389,6.389,6.3565,6.3565,1400.0
2005-02-03,6.3427,6.349,6.3277,6.3315,1600.0
2005-02-04,6.4415,6.4415,6.4415,6.4415,800.0
2005-02-07,6.5077,6.5915,6.5077,6.554,6000.0
2005-02-08,6.5965,6.6227,6.5777,6.6052,11600.0
2005-02-09,6.514,6.514,6.474,6.474,1600.0
2005-02-10,6.4865,6.5902,6.454,6.5702,124000.0
2005-02-11,6.5965,6.6477,6.5965,6.639,4000.0
2005-02-14,6.6502,6.669,6.6452,6.669,6400.0
2005-02-15,6.6902,6.7215,6.6677,6.6677,1600.0
2005-02-16,6.6652,6.7365,6.6065,6.6915,15400.0
2005-02-17,6.7027,6.7027,6.5952,6.5952,10800.0
2005-02-18,6.584,6.6552,6.564,6.6552,12400.0
2005-02-22,6.5615,6.6715,6.4477,6.4477,2800.0
2005-02-23,6.4665,6.5502,6.4602,6.5402,3600.0
2005-02-24,6.5227,6.6452,6.4827,6.6452,23200.0
2005-02-25,6.6577,6.864,6.6577,6.864,28000.0
2005-02-28,6.744,6.744,6.7102,6.7215,2000.0
2005-03-01,6.8277,6.8277,6.7927,6.7927,2000.0
2005-03-02,6.8865,6.8865,6.8165,6.819,1600.0
2005-03-03,6.8552,6.9027,6.769,6.8465,8600.0
2005-03-04,6.909,7.0452,6.909,7.0452,2800.0
2005-03-07,7.049,7.0727,7.014,7.0252,319000.0
2005-03-08,7.0202,7.0202,6.9577,6.9577,18600.0
2005-03-09,6.9127,6.9452,6.824,6.824,8400.0
2005-03-10,6.7852,6.7852,6.699,6.7527,2400.0
2005-03-11,6.8415,6.8415,6.704,6.704,6600.0
2005-03-14,6.759,6.7902,6.704,6.7902,3400.0
2005-03-15,6.8802,6.8802,6.7527,6.7527,6000.0
2005-03-16,6.5852,6.594,6.519,6.519,4000.0
2005-03-17,6.5752,6.5927,6.5752,6.5927,4200.0
2005-03-18,6.3915,6.5277,6.3152,6.4027,4000.0
2005-03-21,6.4315,6.4377,6.3302,6.3902,15800.0
2005-03-22,6.4315,6.4727,6.229,6.2315,7000.0
2005-03-23,6.1115,6.189,6.1115,6.1877,16600.0
2005-03-24,6.2415,6.2602,6.1365,6.1365,4000.0
2005-03-28,6.2015,6.259,6.1777,6.1777,13000.0
2005-03-29,6.169,6.2102,6.0515,6.0515,10600.0
2005-03-30,6.1427,6.2415,6.1315,6.2302,11600.0
2005-03-31,6.3465,6.4065,6.3227,6.4065,3000.0
2005-04-01,6.339,6.339,6.339,6.339,200.0
2005-04-04,6.1802,6.3002,6.1802,6.289,2000.0
2005-04-05,6.369,6.4152,6.309,6.3402,3200.0
2005-04-06,6.4752,6.4752,6.4627,6.4627,4000.0
2005-04-07,6.489,6.5265,6.454,6.5077,3200.0
2005-04-08,6.5627,6.5627,6.4815,6.4852,3600.0
2005-04-11,6.4027,6.4427,6.3665,6.439,2400.0
2005-04-12,6.3402,6.5002,6.2802,6.5002,5800.0
2005-04-13,6.4777,6.4777,6.3727,6.3827,600.0
2005-04-14,6.4027,6.4027,6.1902,6.1902,5200.0
2005-04-15,6.1277,6.1927,5.9215,5.9215,10600.0
2005-04-18,5.9215,6.0652,5.8652,6.0165,578800.0
2005-04-19,6.0777,6.1327,6.0727,6.119,8400.0
2005-04-20,6.0277,6.1477,5.8865,5.8865,10600.0
2005-04-21,5.9652,6.1502,5.9252,6.1502,4200.0
2005-04-22,6.1715,6.1965,6.0052,6.1002,6600.0
2005-04-25,6.2377,6.274,6.2052,6.249,7600.0
2005-04-26,6.2677,6.2677,6.2052,6.209,4000.0
2005-04-27,6.064,6.2502,6.064,6.1515,42800.0
2005-04-28,6.0527,6.0527,6.004,6.014,5000.0
2005-04-29,6.0177,6.1527,5.939,6.1527,6800.0
2005-05-02,6.2302,6.2327,6.159,6.2327,4600.0
2005-05-03,6.2152,6.2465,6.1765,6.2465,4400.0
2005-05-04,6.2965,6.329,6.2965,6.329,2600.0
2005-05-05,6.4152,6.4165,6.2852,6.2852,7800.0
2005-05-06,6.3652,6.399,6.2727,6.2727,5000.0
2005-05-09,6.3527,6.389,6.2852,6.354,3000.0
2005-05-10,6.314,6.3227,6.2015,6.2015,3600.0
2005-05-11,6.2377,6.2927,6.1865,6.2827,65400.0
2005-05-12,6.2602,6.2665,6.1202,6.1202,800.0
2005-05-13,6.054,6.099,5.8352,5.944,2800.0
2005-05-16,5.9927,6.0715,5.9927,6.0715,1800.0
2005-05-17,6.059,6.2015,6.0315,6.2015,3200.0
2005-05-18,6.3415,6.419,6.334,6.369,6000.0
2005-05-19,6.4052,6.4452,6.4052,6.4452,1600.0
2005-05-20,6.4777,6.4777,6.4115,6.444,1200.0
2005-05-23,6.4715,6.5552,6.4715,6.5552,2200.0
2005-05-24,6.4577,6.469,6.444,6.464,3200.0
2005-05-25,6.4252,6.4427,6.4077,6.4427,5200.0
2005-05-26,6.4715,6.5315,6.4715,6.5077,6200.0
2005-05-27,6.534,6.5615,6.5215,6.5615,4000.0
2005-05-31,6.4577,6.5215,6.4552,6.4552,2800.0
2005-06-01,6.474,6.6477,6.474,6.6152,2000.0
2005-06-02,6.564,6.5827,6.5615,6.5827,4000.0
2005-06-03,6.609,6.609,6.489,6.5077,3600.0
2005-06-06,6.5402,6.5402,6.4852,6.5402,3000.0
2005-06-07,6.6577,6.684,6.5365,6.5365,2000.0
2005-06-08,6.5765,6.6315,6.529,6.529,1600.0
2005-06-09,6.5127,6.6015,6.489,6.5927,2400.0
2005-06-10,6.6402,6.6515,6.5477,6.554,8400.0
2005-06-13,6.5652,6.694,6.5652,6.6277,1600.0
2005-06-14,6.6452,6.719,6.6452,6.6977,6600.0
2005-06-15,6.6865,6.719,6.6715,6.719,2200.0
2005-06-16,6.7215,6.8402,6.7215,6.8102,4800.0
2005-06-17,6.8027,6.8527,6.749,6.849,137600.0
2005-06-20,6.7777,6.8602,6.7765,6.8602,6800.0
2005-06-21,6.859,6.859,6.784,6.784,31200.0
2005-06-22,6.8627,6.8627,6.7902,6.8327,1400.0
2005-06-23,6.7577,6.7927,6.6215,6.6215,5000.0
2005-06-24,6.599,6.6015,6.5452,6.5452,3000.0
2005-06-27,6.4402,6.5652,6.4402,6.5152,32200.0
2005-06-28,6.6252,6.6477,6.609,6.6402,1600.0
2005-06-29,6.634,6.6365,6.6252,6.6327,4000.0
2005-06-30,6.629,6.629,6.4715,6.4715,2800.0
2005-07-01,6.5102,6.529,6.5102,6.524,1600.0
2005-07-05,6.5127,6.679,6.5127,6.6615,3800.0
2005-07-06,6.6352,6.6352,6.5227,6.5227,6400.0
2005-07-07,6.3565,6.4502,6.3465,6.4277,9800.0
2005-07-08,6.5315,6.669,6.5315,6.6665,2600.0
2005-07-11,6.6665,6.774,6.6665,6.7552,12000.0
2005-07-12,6.7465,6.809,6.729,6.809,13600.0
