strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
M1M2>-3 | 沪深300 [FULL],1.9,0.231,-26.39,0.072,13.6,2012-01-05,2026-01-30,28.9,5.0,5.42,0.354,-46.7
M1M2>-3 | 沪深300 [IS],1.13,0.155,-26.39,0.043,10.6,2012-01-05,2022-12-30,34.7,4.0,5.04,0.332,-46.7
M1M2>-3 | 沪深300 [OOS],4.68,0.976,-4.15,1.13,3.0,2023-01-03,2026-01-30,8.0,1.0,6.81,0.474,-24.8
M1M2>-2 | 沪深300 [FULL],1.21,0.172,-26.39,0.046,13.6,2012-01-05,2026-01-30,24.7,7.0,5.42,0.354,-46.7
M1M2>-2 | 沪深300 [IS],1.3,0.174,-26.39,0.049,10.6,2012-01-05,2022-12-30,30.2,6.0,5.04,0.332,-46.7
M1M2>-2 | 沪深300 [OOS],0.89,0.238,-4.15,0.215,3.0,2023-01-03,2026-01-30,5.2,1.0,6.81,0.474,-24.8
M1M2>-1 | 沪深300 [FULL],2.2,0.296,-26.39,0.083,13.6,2012-01-05,2026-01-30,19.5,5.0,5.42,0.354,-46.7
M1M2>-1 | 沪深300 [IS],2.83,0.334,-26.39,0.107,10.6,2012-01-05,2022-12-30,25.0,5.0,5.04,0.332,-46.7
M1M2>-1 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>0 | 沪深300 [FULL],2.06,0.305,-26.39,0.078,13.6,2012-01-05,2026-01-30,17.3,2.0,5.42,0.354,-46.7
M1M2>0 | 沪深300 [IS],2.65,0.346,-26.39,0.1,10.6,2012-01-05,2022-12-30,22.1,2.0,5.04,0.332,-46.7
M1M2>0 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>1 | 沪深300 [FULL],1.67,0.259,-26.39,0.063,13.6,2012-01-05,2026-01-30,16.8,2.0,5.42,0.354,-46.7
M1M2>1 | 沪深300 [IS],2.14,0.293,-26.39,0.081,10.6,2012-01-05,2022-12-30,21.5,2.0,5.04,0.332,-46.7
M1M2>1 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>2 | 沪深300 [FULL],1.68,0.287,-19.38,0.087,13.6,2012-01-05,2026-01-30,15.5,2.0,5.42,0.354,-46.7
M1M2>2 | 沪深300 [IS],2.16,0.325,-19.38,0.111,10.6,2012-01-05,2022-12-30,19.8,2.0,5.04,0.332,-46.7
M1M2>2 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2>3 | 沪深300 [FULL],1.68,0.287,-19.38,0.087,13.6,2012-01-05,2026-01-30,15.5,2.0,5.42,0.354,-46.7
M1M2>3 | 沪深300 [IS],2.16,0.325,-19.38,0.111,10.6,2012-01-05,2022-12-30,19.8,2.0,5.04,0.332,-46.7
M1M2>3 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,6.81,0.474,-24.8
M1M2_Rising(3m) | 沪深300 [FULL],4.04,0.332,-40.91,0.099,13.6,2012-01-05,2026-01-30,47.6,23.0,5.42,0.354,-46.7
