date,open,high,low,close,volume
2015-01-05,3566.089,3669.042,3551.51,3641.541,45119809800
2015-01-06,3608.428,3683.226,3587.231,3641.059,42096218500
2015-01-07,3620.924,3671.19,3601.698,3643.79,32019123200
2015-01-08,3650.073,3659.945,3552.1,3559.259,29500304500
2015-01-09,3547.574,3689.753,3536.395,3546.723,34998267200
2015-01-12,3531.515,3560.527,3461.322,3513.576,26656717500
2015-01-13,3506.451,3550.158,3494.768,3514.04,18715396500
2015-01-14,3522.907,3547.242,3471.56,3502.423,19601251000
2015-01-15,3501.719,3604.121,3482.27,3604.121,23781233800
2015-01-16,3616.248,3662.158,3601.258,3635.146,28268161400
2015-01-19,3414.013,3497.252,3330.981,3355.155,32950527500
2015-01-20,3336.793,3419.204,3325.681,3396.222,29784323200
2015-01-21,3420.491,3557.794,3409.43,3548.885,33792821000
2015-01-22,3551.052,3576.756,3520.053,3567.613,26885359900
2015-01-23,3582.088,3627.806,3548.626,3571.732,28017217200
2015-01-26,3580.118,3611.617,3559.376,3607.985,23976620300
2015-01-27,3614.038,3616.258,3510.017,3574.931,28766917900
2015-01-28,3547.239,3583.312,3512.393,3525.323,21622021400
2015-01-29,3474.915,3505.582,3453.901,3481.798,21161886000
2015-01-30,3496.885,3514.217,3431.936,3434.39,19647915700
2015-02-02,3360.193,3407.256,3347.085,3353.96,19518369900
2015-02-03,3388.602,3441.709,3360.717,3437.445,19284609600
2015-02-04,3446.144,3476.817,3399.565,3401.768,19130434900
2015-02-05,3487.951,3487.951,3366.862,3366.946,25043060900
2015-02-06,3352.33,3374.051,3285.935,3312.42,19266418600
2015-02-09,3305.734,3376.526,3298.597,3345.921,17235382000
2015-02-10,3345.077,3407.18,3339.548,3406.943,15930908800
2015-02-11,3415.977,3445.655,3412.136,3434.124,14461377200
2015-02-12,3435.361,3453.582,3405.627,3442.874,15608169100
2015-02-13,3458.827,3509.505,3452.079,3469.828,20108997100
2015-02-16,3473.289,3504.475,3466.607,3499.483,16564134300
2015-02-17,3511.544,3536.82,3511.093,3522.322,16532831300
2015-02-25,3529.55,3529.55,3463.955,3478.729,16553935100
2015-02-26,3473.713,3569.33,3456.871,3566.295,22932843800
2015-02-27,3565.233,3594.813,3560.455,3572.843,22278643800
2015-03-02,3603.452,3608.691,3566.527,3601.265,24817612500
2015-03-03,3579.315,3579.315,3504.201,3507.9,26186648900
2015-03-04,3514.667,3540.912,3497.172,3530.822,19966398100
