cagr,ann_vol,sharpe,mdd,calmar,years,pct_in_market,n_trades,trade_win_rate,avg_win,avg_loss,profit_factor,avg_holding_days,max_win,max_loss,daily_win_rate,bh_cagr,bh_sharpe,bh_mdd,start,end,index,params,vol_window,vol_lookback,vol_pct_thresh,ma_period,exit_mode,period
-1.89,11.67,-0.105,-46.16,-0.041,15.6,18.4,86,55.8,2.2,-2.75,1.01,12.9,8.88,-15.47,49.0,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P60_MA120,10,252,60,120,condition_clear,FULL
-3.54,12.73,-0.219,-46.16,-0.077,12.5,20.1,70,54.3,2.06,-3.01,0.81,13.9,7.4,-15.47,48.6,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P60_MA120,10,252,60,120,condition_clear,IS
5.09,5.57,0.919,-6.74,0.755,3.1,11.6,16,62.5,2.73,-1.37,3.33,8.5,8.88,-4.38,52.2,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P60_MA120,10,252,60,120,condition_clear,OOS
-1.47,10.37,-0.091,-42.54,-0.035,15.6,17.6,80,52.5,2.25,-2.53,0.98,13.1,11.53,-15.47,48.5,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P60_MA200,10,252,60,200,condition_clear,FULL
-3.14,11.2,-0.229,-42.54,-0.074,12.5,18.7,64,50.0,2.03,-2.74,0.74,14.0,11.53,-15.47,48.0,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P60_MA200,10,252,60,200,condition_clear,IS
5.59,5.89,0.952,-6.74,0.829,3.1,13.0,16,62.5,2.94,-1.37,3.59,9.4,8.88,-4.38,51.5,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P60_MA200,10,252,60,200,condition_clear,OOS
-1.23,10.24,-0.069,-40.31,-0.03,15.6,17.0,79,53.2,2.49,-2.31,1.22,12.9,11.53,-15.47,48.5,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P60_MA250,10,252,60,250,condition_clear,FULL
-2.7,11.06,-0.192,-40.31,-0.067,12.5,18.0,64,50.0,2.31,-2.42,0.95,13.4,11.53,-15.47,48.2,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P60_MA250,10,252,60,250,condition_clear,IS
5.0,5.86,0.862,-7.24,0.691,3.1,13.0,15,66.7,3.09,-1.64,3.77,10.5,8.88,-4.38,50.5,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P60_MA250,10,252,60,250,condition_clear,OOS
2.8,8.55,0.365,-19.97,0.14,15.6,14.3,76,53.9,2.68,-1.74,1.81,11.3,18.12,-6.68,50.2,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P60_MA500,10,252,60,500,condition_clear,FULL
1.96,8.99,0.261,-19.97,0.098,12.5,14.2,59,52.5,2.29,-1.83,1.38,11.6,14.49,-6.68,50.2,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P60_MA500,10,252,60,500,condition_clear,IS
6.25,6.46,0.971,-7.24,0.864,3.1,14.4,17,58.8,3.9,-1.35,4.12,10.2,18.12,-4.38,50.0,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P60_MA500,10,252,60,500,condition_clear,OOS
-1.78,10.53,-0.118,-38.33,-0.047,15.6,14.0,70,55.7,2.53,-3.23,0.99,12.0,8.88,-18.89,48.0,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P70_MA120,10,252,70,120,condition_clear,FULL
-3.14,11.47,-0.22,-38.33,-0.082,12.5,15.4,58,51.7,2.41,-3.33,0.78,12.7,7.4,-18.89,47.2,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P70_MA120,10,252,70,120,condition_clear,IS
3.92,5.14,0.774,-8.07,0.486,3.1,8.1,12,75.0,2.9,-2.22,3.93,8.2,8.88,-4.38,54.0,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P70_MA120,10,252,70,120,condition_clear,OOS
-1.71,9.22,-0.14,-37.87,-0.045,15.6,13.2,63,54.0,2.6,-3.21,0.95,12.5,11.53,-12.18,46.7,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P70_MA200,10,252,70,200,condition_clear,FULL
-3.18,9.92,-0.276,-36.93,-0.086,12.5,14.1,50,48.0,2.47,-3.32,0.69,13.5,11.53,-12.18,45.7,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P70_MA200,10,252,70,200,condition_clear,IS
4.51,5.47,0.834,-8.07,0.559,3.1,9.3,13,76.9,2.92,-2.22,4.39,8.6,8.88,-4.38,52.8,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P70_MA200,10,252,70,200,condition_clear,OOS
-1.45,9.07,-0.116,-34.56,-0.042,15.6,12.6,63,55.6,2.75,-2.93,1.17,12.0,11.53,-8.47,47.0,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P70_MA250,10,252,70,250,condition_clear,FULL
-2.78,9.76,-0.239,-33.68,-0.082,12.5,13.5,51,49.0,2.68,-2.9,0.89,12.6,11.53,-8.47,46.1,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P70_MA250,10,252,70,250,condition_clear,IS
4.11,5.43,0.769,-8.07,0.51,3.1,9.1,12,83.3,2.92,-3.32,4.39,9.3,8.88,-4.38,52.1,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P70_MA250,10,252,70,250,condition_clear,OOS
1.19,7.78,0.191,-21.58,0.055,15.6,10.8,64,56.2,2.55,-2.14,1.53,10.1,18.12,-6.68,48.9,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P70_MA500,10,252,70,500,condition_clear,FULL
0.17,8.15,0.061,-21.58,0.008,12.5,11.0,52,50.0,2.1,-2.05,1.02,10.1,14.49,-6.68,48.3,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P70_MA500,10,252,70,500,condition_clear,IS
5.49,6.06,0.912,-9.01,0.609,3.1,10.2,12,83.3,3.72,-3.32,5.6,10.3,18.12,-4.38,51.9,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P70_MA500,10,252,70,500,condition_clear,OOS
-1.45,9.52,-0.106,-32.64,-0.045,15.6,10.8,62,48.4,2.87,-2.35,1.14,10.6,8.88,-8.78,47.9,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P80_MA120,10,252,80,120,condition_clear,FULL
-2.65,10.35,-0.207,-31.82,-0.083,12.5,11.8,53,47.2,2.53,-2.46,0.92,10.8,7.08,-8.78,46.5,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P80_MA120,10,252,80,120,condition_clear,IS
3.55,4.81,0.749,-6.21,0.572,3.1,6.7,9,55.6,4.53,-1.61,3.51,9.1,8.88,-2.88,57.7,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P80_MA120,10,252,80,120,condition_clear,OOS
-2.14,8.38,-0.216,-39.95,-0.054,15.6,9.9,53,43.4,2.98,-2.26,1.01,11.2,8.88,-8.78,46.0,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P80_MA200,10,252,80,200,condition_clear,FULL
-3.48,9.01,-0.348,-38.59,-0.09,12.5,10.6,44,40.9,2.47,-2.36,0.73,11.6,7.08,-8.78,44.8,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P80_MA200,10,252,80,200,condition_clear,IS
3.51,5.07,0.707,-6.34,0.554,3.1,6.9,9,55.6,4.8,-1.61,3.72,9.3,8.88,-2.88,53.7,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P80_MA200,10,252,80,200,condition_clear,OOS
-2.06,8.23,-0.212,-38.46,-0.054,15.6,9.4,50,46.0,3.02,-2.19,1.17,11.3,8.88,-8.78,45.9,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P80_MA250,10,252,80,250,condition_clear,FULL
-3.3,8.84,-0.335,-37.06,-0.089,12.5,10.0,42,42.9,2.53,-2.2,0.86,11.5,7.08,-8.78,44.8,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P80_MA250,10,252,80,250,condition_clear,IS
3.12,5.02,0.636,-6.34,0.492,3.1,6.8,8,62.5,4.8,-2.15,3.72,10.5,8.88,-2.88,52.8,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P80_MA250,10,252,80,250,condition_clear,OOS
-0.45,6.68,-0.035,-30.61,-0.015,15.6,7.7,49,53.1,2.73,-2.12,1.45,9.6,18.12,-8.78,47.5,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P80_MA500,10,252,80,500,condition_clear,FULL
-1.61,6.9,-0.201,-28.66,-0.056,12.5,7.7,40,52.5,1.79,-2.16,0.92,9.3,7.09,-8.78,46.3,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P80_MA500,10,252,80,500,condition_clear,IS
4.41,5.7,0.786,-6.9,0.64,3.1,7.9,9,55.6,6.65,-1.9,4.36,10.7,18.12,-2.88,52.5,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P80_MA500,10,252,80,500,condition_clear,OOS
2.26,7.66,0.33,-18.89,0.12,15.6,6.6,40,55.0,3.97,-1.6,3.04,10.0,10.0,-7.86,53.6,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P90_MA120,10,252,90,120,condition_clear,FULL
1.59,8.27,0.232,-18.89,0.084,12.5,7.1,34,55.9,3.7,-1.8,2.61,10.0,10.0,-7.86,51.1,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P90_MA120,10,252,90,120,condition_clear,IS
5.02,4.31,1.159,-4.88,1.028,3.1,4.6,6,50.0,5.69,-0.6,9.43,9.5,8.88,-1.46,69.4,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P90_MA120,10,252,90,120,condition_clear,OOS
1.69,6.22,0.301,-17.37,0.097,15.6,5.5,35,51.4,3.5,-1.37,2.7,9.4,10.0,-5.83,51.4,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P90_MA200,10,252,90,200,condition_clear,FULL
1.0,6.61,0.183,-17.37,0.057,12.5,6.0,29,51.7,3.13,-1.54,2.18,9.7,10.0,-5.83,49.2,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P90_MA200,10,252,90,200,condition_clear,IS
4.57,4.29,1.063,-4.88,0.936,3.1,3.7,6,50.0,5.38,-0.6,8.92,7.7,8.88,-1.46,65.5,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P90_MA200,10,252,90,200,condition_clear,OOS
1.3,6.16,0.24,-19.86,0.065,15.6,5.3,32,50.0,3.8,-1.46,2.6,9.8,10.0,-5.83,51.0,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P90_MA250,10,252,90,250,condition_clear,FULL
0.6,6.54,0.125,-19.86,0.03,12.5,5.7,27,48.1,3.43,-1.54,2.07,9.9,10.0,-5.83,48.9,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P90_MA250,10,252,90,250,condition_clear,IS
4.17,4.24,0.985,-4.88,0.854,3.1,3.6,5,60.0,5.38,-0.9,8.92,9.2,8.88,-1.46,64.3,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P90_MA250,10,252,90,250,condition_clear,OOS
1.36,5.21,0.285,-22.85,0.059,15.6,4.4,30,46.7,3.53,-1.31,2.37,8.3,18.12,-5.14,52.6,1.52,0.178,-46.7,2010-01-05,2026-03-24,沪深300,Vol10_LB252_P90_MA500,10,252,90,500,condition_clear,FULL
0.3,5.27,0.083,-22.85,0.013,12.5,4.5,24,45.8,2.19,-1.44,1.29,8.3,5.4,-5.14,49.7,0.73,0.146,-46.7,2010-01-05,2022-12-30,沪深300,Vol10_LB252_P90_MA500,10,252,90,500,condition_clear,IS
5.78,4.95,1.16,-4.88,1.183,3.1,3.9,6,50.0,8.46,-0.74,11.44,8.3,18.12,-1.46,66.7,4.66,0.353,-24.8,2023-01-04,2026-03-24,沪深300,Vol10_LB252_P90_MA500,10,252,90,500,condition_clear,OOS
