date,value
20200827,0.998278
20200828,0.997635
20200831,0.997818
20200901,1.000579
20200902,1.000419
20200903,1.000993
20200904,1.000263
20200907,0.997284
20200908,0.999010
20200909,0.998786
20200910,0.998856
20200911,0.997823
20200914,0.997261
20200915,0.997303
20200916,0.997828
20200917,0.998006
20200918,0.999026
20200921,1.000544
20200922,1.000348
20200923,1.000604
20200924,0.998194
20200925,0.997377
20200928,0.996424
20200929,0.998547
20200930,0.998370
20201009,0.998464
20201012,1.000066
20201013,1.000106
20201014,1.000261
20201015,0.999981
20201016,1.001292
20201019,1.001506
20201020,1.002148
20201021,1.002420
20201022,1.003603
20201023,1.002500
20201026,1.000656
20201027,1.002400
20201028,1.002329
20201029,1.002859
20201030,1.002203
20201102,1.003097
20201103,1.003889
20201104,1.004025
20201105,1.005011
20201106,1.003770
20201109,1.003706
20201110,1.004260
20201111,1.004377
20201112,1.003474
20201113,0.999341
20201116,0.999811
20201117,0.997269
20201118,0.997841
20201119,0.997005
20201120,0.992617
20201123,0.998234
20201124,0.997554
20201125,0.998125
20201126,0.998295
20201127,0.999018
20201130,1.000358
20201201,1.001334
20201202,1.001857
20201203,1.000792
20201204,1.001529
20201207,0.999759
20201208,0.999646
20201209,0.999485
20201210,0.999436
20201211,0.997183
20201214,0.996468
20201215,0.995445
20201216,0.997337
20201217,0.997341
20201218,0.997654
20201221,0.999261
20201222,0.999411
20201223,1.000088
20201224,1.001057
20201225,1.002096
20201228,1.000971
20201229,1.002057
20201230,1.002646
20201231,1.004216
20210104,1.005062
20210105,1.006574
20210106,1.008364
20210107,1.009048
20210108,1.009635
20210111,1.007849
20210112,1.009324
20210113,1.009876
20210114,1.010466
20210115,1.011431
20210118,1.010661
20210119,1.009579
20210120,1.011486
20210121,1.012822
20210122,1.012307
20210125,1.011893
20210126,1.008643
20210127,1.009886
20210128,1.006295
20210129,1.003626
20210201,1.004340
20210202,1.004864
20210203,1.003704
20210204,1.002162
20210205,1.001597
20210208,1.002332
20210209,1.005436
20210210,1.006946
20210218,1.008196
20210219,1.010675
20210222,1.010061
20210223,1.011133
20210224,1.010112
20210225,1.010542
20210226,1.008267
20210301,1.008296
20210302,1.009310
20210303,1.010111
20210304,1.008586
20210305,1.009698
20210308,1.007242
20210309,1.005995
20210310,1.007246
20210311,1.008856
20210312,1.009928
20210315,1.009646
20210316,1.010560
20210317,1.010280
20210318,1.010244
20210319,1.010137
20210322,1.010953
20210323,1.010507
20210324,1.009115
20210325,1.009789
20210326,1.010435
20210329,1.010376
20210330,1.011869
20210331,1.012510
20210401,1.012808
20210402,1.013548
20210406,1.013249
20210407,1.013226
20210408,1.013632
20210409,1.013396
20210412,1.014032
20210413,1.014439
20210414,1.014779
20210415,1.014193
20210416,1.016164
20210419,1.017159
20210420,1.017740
20210421,1.017761
20210422,1.017457
20210423,1.018132
20210426,1.017842
20210427,1.016199
20210428,1.015837
20210429,1.017698
20210430,1.017709
20210506,1.018099
20210507,1.017910
20210510,1.018279
20210511,1.019291
20210512,1.020306
20210513,1.018743
20210514,1.020673
20210517,1.021806
20210518,1.021633
20210519,1.022217
20210520,1.023152
20210521,1.024454
20210524,1.025001
20210525,1.026347
20210526,1.026908
20210527,1.027008
20210528,1.026478
20210531,1.026071
20210601,1.027120
20210602,1.027579
20210603,1.027636
20210604,1.027099
20210607,1.026149
20210608,1.025066
20210609,1.025619
20210610,1.025663
20210611,1.024895
20210615,1.023921
20210616,1.023881
20210617,1.022681
20210618,1.023692
20210621,1.025115
20210622,1.025428
20210623,1.025732
20210624,1.026240
20210625,1.027721
20210628,1.028234
20210629,1.027865
20210630,1.028854
20210701,1.028761
20210702,1.027518
20210705,1.027709
20210706,1.028189
20210707,1.029985
20210708,1.031724
20210709,1.033460
20210712,1.034054
20210713,1.037372
20210714,1.037312
20210715,1.036661
20210716,1.037329
20210719,1.037054
20210720,1.038199
20210721,1.039656
20210722,1.039849
20210723,1.040509
20210726,1.040321
20210727,1.039388
20210728,1.038085
20210729,1.039330
20210730,1.041021
20210802,1.044459
20210803,1.043981
20210804,1.045066
20210805,1.044985
20210806,1.045279
20210809,1.043776
20210810,1.044154
20210811,1.043746
20210812,1.044895
20210813,1.045546
20210816,1.045785
20210817,1.044871
20210818,1.046577
20210819,1.046443
20210820,1.046168
20210823,1.046773
20210824,1.048075
20210825,1.048152
20210826,1.045923
20210827,1.046868
20210830,1.047747
20210831,1.048642
20210901,1.051454
20210902,1.054540
20210903,1.054502
20210906,1.055420
20210907,1.057013
20210908,1.057519
20210909,1.057791
20210910,1.057692
20210913,1.056965
20210914,1.053765
20210915,1.052991
20210916,1.049935
20210917,1.051454
20210922,1.052827
20210923,1.054625
20210924,1.052536
20210927,1.050480
20210928,1.051771
20210929,1.050498
20210930,1.052549
20211008,1.051122
20211011,1.050750
20211012,1.047248
20211013,1.046549
20211014,1.046971
20211015,1.048244
20211018,1.047445
20211019,1.048476
20211020,1.048964
20211021,1.050235
20211022,1.049203
20211025,1.050141
20211026,1.050680
20211027,1.051240
20211028,1.049609
20211029,1.051106
20211101,1.053384
20211102,1.053106
20211103,1.054649
20211104,1.055626
20211105,1.054690
20211108,1.055854
20211109,1.056304
20211110,1.055996
20211111,1.057502
20211112,1.058238
20211115,1.058124
20211116,1.057324
20211117,1.057017
20211118,1.058189
20211119,1.059786
20211122,1.061404
20211123,1.060723
20211124,1.061279
20211125,1.061494
20211126,1.062477
20211129,1.063160
20211130,1.062808
20211201,1.063684
20211202,1.064903
20211203,1.066183
20211206,1.065336
20211207,1.063518
20211208,1.064915
20211209,1.066101
20211210,1.066702
20211213,1.066975
20211214,1.067278
20211215,1.067084
20211216,1.067509
20211217,1.067739
20211220,1.065636
20211221,1.066233
20211222,1.067224
20211223,1.069254
20211224,1.069905
20211227,1.070096
20211228,1.070957
20211229,1.070328
20211230,1.072865
20211231,1.073622
20220104,1.075526
20220105,1.074082
20220106,1.073547
20220107,1.073706
20220110,1.074635
20220111,1.074381
20220112,1.075603
20220113,1.074825
20220114,1.074051
20220117,1.075589
20220118,1.079444
20220119,1.081039
20220120,1.082215
20220121,1.082970
20220124,1.085656
20220125,1.083138
20220126,1.082298
20220127,1.080400
20220128,1.081120
20220207,1.083939
20220208,1.085679
20220209,1.087362
20220210,1.089168
20220211,1.085783
20220214,1.077593
20220215,1.074135
20220216,1.076153
20220217,1.076885
20220218,1.078452
20220221,1.076771
20220222,1.074764
20220223,1.077217
20220224,1.076575
20220225,1.077288
20220228,1.077746
20220301,1.076955
20220302,1.076999
20220303,1.076767
20220304,1.073626
20220307,1.070065
20220308,1.066430
20220309,1.063842
20220310,1.066959
20220311,1.067515
20220314,1.068566
20220315,1.062713
20220316,1.065606
20220317,1.066047
20220318,1.070550
20220321,1.068273
20220322,1.067805
20220323,1.066561
20220324,1.064598
20220325,1.063497
20220328,1.062148
20220329,1.062232
20220330,1.065143
20220331,1.064975
20220401,1.068320
20220406,1.070110
20220407,1.069698
20220408,1.072462
20220411,1.070276
20220412,1.071181
20220413,1.070910
20220414,1.072616
20220415,1.071984
20220418,1.070973
20220419,1.071085
20220420,1.069322
20220421,1.067397
20220422,1.067950
20220425,1.064722
20220426,1.064917
20220427,1.066134
20220428,1.066029
20220429,1.068831
20220505,1.069271
20220506,1.066991
20220509,1.067448
20220510,1.069885
20220511,1.070892
20220512,1.070968
20220513,1.072558
20220516,1.071448
20220517,1.072724
20220518,1.072775
20220519,1.072666
20220520,1.074087
20220523,1.075237
20220524,1.074008
20220525,1.075908
20220526,1.078104
20220527,1.077785
20220530,1.076753
20220531,1.076846
20220601,1.076415
20220602,1.076380
20220606,1.076581
20220607,1.076627
20220608,1.076836
20220609,1.077353
20220610,1.078718
20220613,1.077781
20220614,1.077704
20220615,1.079357
20220616,1.078689
20220617,1.079202
20220620,1.079234
20220621,1.078522
20220622,1.078516
20220623,1.079221
20220624,1.080567
20220627,1.080292
20220628,1.081765
20220629,1.080772
20220630,1.082234
20220701,1.083282
20220704,1.082987
20220705,1.082254
20220706,1.081493
20220707,1.082606
20220708,1.082228
20220711,1.081067
20220712,1.082303
20220713,1.082542
20220714,1.083338
20220715,1.084126
20220718,1.084891
20220719,1.084543
20220720,1.085966
20220721,1.085721
20220722,1.085529
20220725,1.085449
20220726,1.088200
20220727,1.088389
20220728,1.088831
20220729,1.090788
20220801,1.092040
20220802,1.091242
20220803,1.089981
20220804,1.091558
20220805,1.092217
20220808,1.092544
20220809,1.092870
20220810,1.092596
20220811,1.093678
20220812,1.093615
20220815,1.096937
20220816,1.098233
20220817,1.098883
20220818,1.098293
20220819,1.098115
20220822,1.098704
20220823,1.098747
20220824,1.096425
20220825,1.095426
20220826,1.095337
20220829,1.093765
20220830,1.094080
20220831,1.093152
20220901,1.093157
20220902,1.094497
20220905,1.095152
20220906,1.096989
20220907,1.097454
20220908,1.096468
20220909,1.096985
20220913,1.095775
20220914,1.094220
20220915,1.092817
20220916,1.090028
20220919,1.089294
20220920,1.090959
20220921,1.092091
20220922,1.091129
20220923,1.089801
20220926,1.085585
20220927,1.085480
20220928,1.083018
20220929,1.080350
20220930,1.082339
20221010,1.083266
20221011,1.084972
20221012,1.086270
20221013,1.086111
20221014,1.089209
20221017,1.088181
20221018,1.087944
20221019,1.087335
20221020,1.085544
20221021,1.086126
20221024,1.083527
20221025,1.083379
20221026,1.083774
20221027,1.084334
20221028,1.082893
20221031,1.081876
20221101,1.083035
20221102,1.083422
20221103,1.083602
20221104,1.085270
20221107,1.084076
20221108,1.083383
20221109,1.084916
20221110,1.084108
20221111,1.085172
20221114,1.081266
20221115,1.081316
20221116,1.077622
20221117,1.077297
20221118,1.076398
20221121,1.076946
20221122,1.076956
20221123,1.078588
20221124,1.080247
20221125,1.080360
20221128,1.078207
20221129,1.079401
20221130,1.079753
20221201,1.081349
20221202,1.081480
20221205,1.082936
20221206,1.081074
20221207,1.078505
20221208,1.078996
20221209,1.078411
20221212,1.077506
20221213,1.074515
20221214,1.073890
20221215,1.073229
20221216,1.072743
20221219,1.071598
20221220,1.070309
20221221,1.070483
20221222,1.069459
20221223,1.069352
20221226,1.070059
20221227,1.071890
20221228,1.071706
20221229,1.071179
20221230,1.072400
20230103,1.073881
20230104,1.076264
20230105,1.077660
20230106,1.076503
20230109,1.076490
20230110,1.074675
20230111,1.073793
20230112,1.073995
20230113,1.073725
20230116,1.072755
20230117,1.073995
20230118,1.074358
20230119,1.074588
20230120,1.077472
20230130,1.074328
20230131,1.073536
20230201,1.075718
20230202,1.077102
20230203,1.076498
20230206,1.075665
20230207,1.076964
20230208,1.075946
20230209,1.078190
20230210,1.079044
20230213,1.079580
20230214,1.079763
20230215,1.077916
20230216,1.077067
20230217,1.074929
20230220,1.076615
20230221,1.077139
20230222,1.077065
20230223,1.076889
20230224,1.076710
20230227,1.075922
20230228,1.075977
20230301,1.077102
20230302,1.077082
20230303,1.077482
20230306,1.078480
20230307,1.078418
20230308,1.078529
20230309,1.078939
20230310,1.078625
20230313,1.078951
20230314,1.078722
20230315,1.078987
20230316,1.078506
20230317,1.079077
20230320,1.079723
20230321,1.080436
20230322,1.081593
20230323,1.081960
20230324,1.082219
20230327,1.081901
20230328,1.080874
20230329,1.081437
20230330,1.082046
20230331,1.082546
20230403,1.084039
20230404,1.084304
20230406,1.084746
20230407,1.085250
20230410,1.086029
20230411,1.085654
20230412,1.087153
20230413,1.087147
20230414,1.088424
20230417,1.090521
20230418,1.092455
20230419,1.092295
20230420,1.091416
20230421,1.090796
20230424,1.089836
20230425,1.089891
20230426,1.091302
20230427,1.093912
20230428,1.095780
20230504,1.098295
20230505,1.098437
20230508,1.100121
20230509,1.100324
20230510,1.099917
20230511,1.101356
20230512,1.098446
20230515,1.099462
20230516,1.098797
20230517,1.098908
20230518,1.099192
20230519,1.099632
20230522,1.101307
20230523,1.101465
20230524,1.099495
20230525,1.099019
20230526,1.098804
20230529,1.099047
20230530,1.099009
20230531,1.098520
20230601,1.099515
20230602,1.100200
20230605,1.100536
20230606,1.100151
20230607,1.100488
20230608,1.101139
20230609,1.102765
20230612,1.103125
20230613,1.104248
20230614,1.104985
20230615,1.103892
20230616,1.101682
20230619,1.101051
20230620,1.100980
20230621,1.101447
20230626,1.100695
20230627,1.100938
20230628,1.101170
20230629,1.100429
20230630,1.102457
20230703,1.103256
20230704,1.102859
20230705,1.102940
20230706,1.103125
20230707,1.103852
20230710,1.103981
20230711,1.104654
20230712,1.104912
20230713,1.105886
20230714,1.105910
20230717,1.106008
20230718,1.106603
20230719,1.106907
20230720,1.106525
20230721,1.107233
20230724,1.107348
20230725,1.107345
20230726,1.107816
20230727,1.108657
20230728,1.110938
20230731,1.110380
20230801,1.109839
20230802,1.110066
20230803,1.111579
20230804,1.112179
20230807,1.111531
20230808,1.111653
20230809,1.111460
20230810,1.111767
20230811,1.111103
20230814,1.111084
20230815,1.112762
20230816,1.112967
20230817,1.113622
20230818,1.113822
20230821,1.114295
20230822,1.113368
20230823,1.112275
20230824,1.112553
20230825,1.112312
20230828,1.112529
20230829,1.112132
20230830,1.112612
20230831,1.112548
20230901,1.112692
20230904,1.111402
20230905,1.111742
20230906,1.110668
20230907,1.107580
20230908,1.107559
20230911,1.107146
20230912,1.107459
20230913,1.107298
20230914,1.108182
20230915,1.107801
20230918,1.107106
20230919,1.107022
20230920,1.106789
20230921,1.106508
20230922,1.107136
20230925,1.106512
20230926,1.106314
20230927,1.105597
20230928,1.108788
20231009,1.108730
20231010,1.108087
20231011,1.106528
20231012,1.107142
20231013,1.107584
20231016,1.106957
20231017,1.106526
20231018,1.104785
20231019,1.101423
20231020,1.101529
20231023,1.099497
20231024,1.101061
20231025,1.101948
20231026,1.103386
20231027,1.104820
20231030,1.105039
20231031,1.104886
20231101,1.104359
20231102,1.105235
20231103,1.105624
20231106,1.106606
20231107,1.107050
20231108,1.106598
20231109,1.107111
20231110,1.106695
20231113,1.107338
20231114,1.107663
20231115,1.108393
20231116,1.108162
20231117,1.107838
20231120,1.107971
20231121,1.108017
20231122,1.105924
20231123,1.105089
20231124,1.104540
20231127,1.104235
20231128,1.104522
20231129,1.103392
20231130,1.103924
20231201,1.104869
20231204,1.104328
20231205,1.103322
20231206,1.103115
20231207,1.103631
20231208,1.104529
20231211,1.105960
20231212,1.105733
20231213,1.105930
20231214,1.105542
20231215,1.105475
20231218,1.105397
20231219,1.104750
20231220,1.104128
20231221,1.104982
20231222,1.106040
20231225,1.106541
20231226,1.106240
20231227,1.107884
20231228,1.110285
20231229,1.112393
20240102,1.113337
20240103,1.111810
20240104,1.112562
20240105,1.114293
20240108,1.112227
20240109,1.112831
20240110,1.112460
20240111,1.112595
20240112,1.113390
20240115,1.113151
20240116,1.112769
20240117,1.111676
20240118,1.111501
20240119,1.112247
20240122,1.110168
20240123,1.110221
20240124,1.110940
20240125,1.113993
20240126,1.115579
20240129,1.114788
20240130,1.115350
20240131,1.116013
20240201,1.115705
20240202,1.115678
20240205,1.115733
20240206,1.117152
20240207,1.117867
20240208,1.119877
20240219,1.120809
20240220,1.123056
20240221,1.125125
20240222,1.126136
20240223,1.127172
20240226,1.125725
20240227,1.126802
20240228,1.125851
20240229,1.127610
20240301,1.126475
20240304,1.127372
20240305,1.126969
20240306,1.128758
20240307,1.129492
20240308,1.129409
20240311,1.129233
20240312,1.126479
20240313,1.126329
20240314,1.125466
20240315,1.127174
20240318,1.128356
20240319,1.129156
20240320,1.129617
20240321,1.130052
20240322,1.129453
20240325,1.128726
20240326,1.128119
20240327,1.127959
20240328,1.128078
20240329,1.129562
20240401,1.129940
20240402,1.130311
20240403,1.131741
20240408,1.132063
20240409,1.133912
20240410,1.133747
20240411,1.134377
20240412,1.136104
20240415,1.136689
20240416,1.135719
20240417,1.137771
20240418,1.139478
20240419,1.139706
20240422,1.139492
20240423,1.140770
20240424,1.138067
20240425,1.138870
20240426,1.138301
20240429,1.135493
20240430,1.138181
20240506,1.140957
20240507,1.143402
20240508,1.143390
20240509,1.144698
20240510,1.144420
20240513,1.145829
20240514,1.146356
20240515,1.145797
20240516,1.145461
20240517,1.144857
20240520,1.147007
20240521,1.146328
20240522,1.146997
20240523,1.146881
20240524,1.146616
20240527,1.147198
20240528,1.148010
20240529,1.148065
20240530,1.148154
20240531,1.147463
20240603,1.146327
20240604,1.146892
20240605,1.147151
20240606,1.147104
20240607,1.147501
20240611,1.147489
20240612,1.147925
20240613,1.147275
20240614,1.148069
20240617,1.147846
20240618,1.148534
20240619,1.148005
20240620,1.147025
20240621,1.145931
20240624,1.143844
20240625,1.144812
20240626,1.147382
20240627,1.147820
20240628,1.149596
20240701,1.149410
20240702,1.150017
20240703,1.149663
20240704,1.148461
20240705,1.147720
20240708,1.144440
20240709,1.147214
20240710,1.146718
20240711,1.147788
20240712,1.148156
20240715,1.147767
20240716,1.147628
20240717,1.146411
20240718,1.146373
20240719,1.146761
20240722,1.146974
20240723,1.146070
20240724,1.144003
20240725,1.143746
20240726,1.146435
20240729,1.147014
20240730,1.146849
20240731,1.149562
20240801,1.150441
20240802,1.150542
20240805,1.150065
20240806,1.148583
20240807,1.150276
20240808,1.148583
20240809,1.147253
20240812,1.142228
20240813,1.143925
20240814,1.144778
20240815,1.143227
20240816,1.141353
20240819,1.143557
20240820,1.141509
20240821,1.139732
20240822,1.140109
20240823,1.141075
20240826,1.142093
20240827,1.140263
20240828,1.140468
20240829,1.140107
20240830,1.141962
20240902,1.142184
20240903,1.142995
20240904,1.143310
20240905,1.145291
20240906,1.144955
20240909,1.143972
20240910,1.143186
20240911,1.142613
20240912,1.141983
20240913,1.142732
20240918,1.142631
20240919,1.143225
20240920,1.143308
20240923,1.143599
20240924,1.147591
20240925,1.150629
20240926,1.153058
20240927,1.153413
20240930,1.153623
20241008,1.156252
20241009,1.145543
20241010,1.150682
20241011,1.149053
20241014,1.154415
20241015,1.154318
20241016,1.156202
20241017,1.156599
20241018,1.158292
20241021,1.158888
20241022,1.158389
20241023,1.157863
20241024,1.156627
20241025,1.158123
20241028,1.158011
20241029,1.157712
20241030,1.156926
20241031,1.157886
20241101,1.159718
20241104,1.161123
20241105,1.163489
20241106,1.163311
20241107,1.165931
20241108,1.165782
20241111,1.168146
20241112,1.168389
20241113,1.168598
20241114,1.166548
20241115,1.165631
20241118,1.164007
20241119,1.165212
20241120,1.166672
20241121,1.167677
20241122,1.165843
20241125,1.166237
20241126,1.166651
20241127,1.168882
20241128,1.170058
20241129,1.172183
20241202,1.175409
20241203,1.176244
20241204,1.176756
20241205,1.177333
20241206,1.178321
20241209,1.179314
20241210,1.184459
20241211,1.185972
20241212,1.188707
20241213,1.190006
20241216,1.189736
20241217,1.188053
20241218,1.187933
20241219,1.186735
20241220,1.190244
20241223,1.189980
20241224,1.190457
20241225,1.188995
20241226,1.189446
20241227,1.191833
20241230,1.191338
20241231,1.190482
20250102,1.191123
20250103,1.192779
20250106,1.192728
20250107,1.193003
20250108,1.193164
20250109,1.192059
20250110,1.190766
20250113,1.189562
20250114,1.191938
20250115,1.193670
20250116,1.192525
20250117,1.193330
20250120,1.193499
20250121,1.194765
20250122,1.194441
20250123,1.194060
20250124,1.194766
20250127,1.196464
20250205,1.196870
20250206,1.199212
20250207,1.200895
20250210,1.200234
20250211,1.199516
20250212,1.200638
20250213,1.200023
20250214,1.198653
