date,value
20170127,1.000000
20170203,0.996336
20170210,1.001794
20170217,0.999667
20170224,1.020732
20170303,1.000768
20170310,1.008034
20170317,1.021729
20170324,1.058143
20170331,1.051418
20170407,1.077383
20170414,1.052884
20170421,1.038337
20170428,1.027212
20170505,1.019532
20170512,1.013558
20170519,1.029106
20170526,1.047888
20170602,1.052392
20170609,1.088005
20170616,1.080846
20170623,1.099250
20170630,1.110591
20170707,1.105496
20170714,1.104629
20170721,1.113935
20170728,1.109871
20170804,1.103845
20170811,1.087345
20170818,1.103315
20170825,1.117094
20170901,1.136141
20170908,1.141274
20170915,1.147222
20170922,1.145674
20170929,1.146373
20171013,1.172099
20171020,1.136712
20171027,1.157127
20171103,1.110185
20171110,1.147138
20171117,1.142960
20171124,1.115759
20171201,1.092130
20171208,1.095523
20171215,1.096593
20171222,1.126612
20171229,1.115768
20180105,1.136593
20180112,1.171033
20180119,1.175615
20180126,1.199261
20180202,1.156856
20180209,1.042514
20180216,1.096110
20180223,1.114468
20180302,1.111168
20180309,1.167779
20180316,1.156273
20180323,1.119008
20180330,1.205111
20180406,1.172520
20180413,1.161427
20180420,1.136067
20180427,1.158162
20180504,1.170822
20180511,1.201641
20180518,1.224509
20180525,1.232762
20180601,1.183914
20180608,1.186937
20180615,1.154515
20180622,1.137739
20180629,1.106499
20180706,1.055686
20180713,1.124140
20180720,1.114877
20180727,1.099334
20180803,1.020234
20180810,1.047150
20180817,0.979359
20180824,1.004340
20180831,0.998131
20180907,0.986446
20180914,0.930416
20180921,0.976653
20180928,0.978234
20181012,0.874227
20181019,0.847106
20181026,0.865483
20181102,0.922292
20181109,0.889102
20181116,0.904364
20181123,0.855065
20181130,0.865921
20181207,0.873107
20181214,0.863757
20181221,0.828530
20181228,0.809490
20190104,0.817473
20190111,0.830826
20190118,0.843834
20190125,0.844818
20190201,0.844288
20190215,0.885038
20190222,0.943982
20190301,1.019716
20190308,1.024627
20190315,1.033546
20190322,1.066676
20190329,1.054642
20190405,1.109438
20190412,1.081398
20190419,1.117749
20190426,1.039889
20190503,1.010540
20190510,0.963027
20190517,0.941662
20190524,0.914894
20190531,0.934264
20190607,0.893728
20190614,0.927060
20190621,0.978033
20190628,0.986649
20190705,1.007962
20190712,0.992072
20190719,0.984737
20190726,1.000645
20190802,0.977685
20190809,0.946586
20190816,0.979227
20190823,1.024200
20190830,1.024323
20190906,1.063930
20190913,1.072547
20190920,1.073870
20190927,1.042421
20191004,1.031391
20191011,1.061680
20191018,1.062943
20191025,1.071663
20191101,1.101867
20191108,1.118675
20191115,1.109704
20191122,1.100500
20191129,1.078807
20191206,1.107615
20191213,1.123872
20191220,1.122540
20191227,1.126972
20200103,1.167687
20200110,1.204365
20200117,1.215519
20200124,1.205641
20200207,1.224225
20200214,1.262439
20200221,1.374410
20200228,1.274843
20200306,1.362852
20200313,1.278082
20200320,1.210702
20200327,1.195394
20200403,1.197350
20200410,1.232687
20200417,1.267719
20200424,1.265136
20200501,1.295775
20200508,1.328441
20200515,1.332170
20200522,1.302716
20200529,1.319404
20200605,1.369967
20200612,1.417155
20200619,1.497329
20200626,1.541242
20200703,1.570861
20200710,1.745737
20200717,1.714469
20200724,1.725320
20200731,1.865235
20200807,1.828793
20200814,1.750299
20200821,1.742719
20200828,1.831054
20200904,1.790717
20200911,1.672011
20200918,1.726585
20200925,1.656412
20201002,1.663019
20201009,1.708933
20201016,1.741586
20201023,1.691829
20201030,1.668931
20201106,1.739211
20201113,1.723899
20201120,1.723623
20201127,1.718185
20201204,1.772424
20201211,1.725109
20201218,1.787116
20201225,1.823315
20210101,1.862958
20210108,1.978622
20210115,1.959429
20210122,2.069753
20210129,1.951730
20210205,2.054299
20210212,2.205058
20210219,2.101980
20210226,1.864753
20210305,1.816140
20210312,1.753334
20210319,1.689210
20210326,1.700881
20210402,1.750459
20210409,1.741499
20210416,1.709825
20210423,1.753799
20210430,1.794893
20210507,1.730717
20210514,1.778243
20210521,1.772741
20210528,1.819097
20210604,1.830355
20210611,1.852535
20210618,1.805171
20210625,1.831534
20210702,1.849778
20210709,1.840545
20210716,1.854644
20210723,1.891975
20210730,1.868935
20210806,1.910676
20210813,1.884198
20210820,1.817982
20210827,1.862068
20210903,1.810879
20210910,1.896747
20210917,1.862434
20210924,1.857582
20211001,1.833926
20211008,1.853473
20211015,1.843161
20211022,1.858910
20211029,1.844280
20211105,1.829980
20211112,1.859711
20211119,1.854238
20211126,1.888463
20211203,1.897353
20211210,1.898877
20211217,1.863889
20211224,1.806850
20211231,1.836850
20220107,1.726908
20220114,1.704353
20220121,1.684039
20220128,1.594444
20220211,1.608301
20220218,1.641612
20220225,1.639124
20220304,1.613532
20220311,1.548239
20220318,1.525380
20220325,1.501724
20220401,1.504006
20220408,1.473564
20220415,1.462284
20220422,1.379249
20220429,1.379507
20220506,1.345503
20220513,1.379044
20220520,1.391719
20220527,1.352676
20220603,1.379934
20220610,1.439077
20220617,1.470170
20220624,1.538108
20220701,1.540924
20220708,1.545935
20220715,1.516415
20220722,1.526670
20220729,1.517796
20220805,1.519500
20220812,1.536927
20220819,1.554363
20220826,1.496275
20220902,1.432023
20220909,1.458688
20220916,1.379776
20220923,1.353625
20220930,1.315352
20221014,1.355212
20221021,1.343649
20221028,1.289414
20221104,1.383254
20221111,1.357015
20221118,1.388182
20221125,1.341773
20221202,1.364011
20221209,1.366256
20221216,1.358714
20221223,1.325195
20221230,1.363722
20230106,1.406121
20230113,1.453566
20230120,1.502750
20230203,1.470265
20230210,1.456648
20230217,1.431125
20230224,1.445100
20230303,1.459212
20230310,1.410478
20230317,1.380148
20230324,1.405811
20230331,1.411107
20230407,1.441125
20230414,1.432553
20230421,1.398430
20230428,1.393244
20230505,1.380674
20230512,1.354101
20230519,1.364348
20230526,1.342054
20230602,1.352674
20230609,1.336218
20230616,1.380039
20230623,1.351980
20230630,1.357921
20230707,1.346338
20230714,1.363684
20230721,1.338016
20230728,1.377694
20230804,1.400703
20230811,1.348993
20230818,1.308523
20230825,1.271352
20230901,1.296381
20230908,1.264991
20230915,1.259450
20230922,1.267857
20230929,1.271974
20231013,1.277265
20231020,1.209168
20231027,1.245728
20231103,1.264021
20231110,1.284067
20231117,1.290040
20231124,1.278162
20231201,1.280846
20231208,1.240357
20231215,1.222432
20231222,1.193787
20231229,1.221653
20240105,1.173087
20240112,1.146673
20240119,1.113593
20240126,1.108792
20240202,1.010146
20240209,1.095613
20240223,1.127920
20240301,1.159821
20240308,1.155060
20240315,1.190284
20240322,1.179689
20240329,1.161745
20240405,1.175639
20240412,1.134676
20240419,1.142975
20240426,1.175519
20240503,1.194999
20240510,1.205758
20240517,1.200483
20240524,1.162982
20240531,1.156551
20240607,1.147272
20240614,1.148805
20240621,1.133289
20240628,1.104300
20240705,1.091012
20240712,1.112752
20240719,1.140151
20240726,1.099061
20240802,1.083049
20240809,1.069149
20240816,1.068775
20240823,1.046444
20240830,1.056182
20240906,1.029796
20240913,1.007693
20240920,1.012124
20240927,1.200797
20241004,1.380479
20241011,1.274987
20241018,1.347879
20241025,1.389355
20241101,1.344918
20241108,1.464544
20241115,1.407780
20241122,1.373807
20241129,1.406343
20241206,1.441978
20241213,1.432065
20241220,1.414622
20241227,1.401886
20250103,1.279731
20250110,1.261560
20250117,1.308848
20250124,1.326897
20250131,1.293576
20250207,1.341287
20250214,1.361957
20250221,1.391692
20250228,1.357928
20250307,1.391294
20250314,1.411072
20250321,1.374887
20250328,1.359527
20250404,1.352636
20250411,1.282710
20250418,1.275970
20250425,1.284892
20250502,1.291759
20250509,1.314514
20250516,1.331438
20250523,1.344099
20250530,1.344388
20250606,1.349231
20250613,1.355393
20250620,1.327709
20250627,1.346394
20250704,1.370525
20250711,1.405176
20250718,1.441478
20250725,1.476126
20250801,1.466378
20250808,1.464502
20250815,1.569331
