date,value
20150327,1.000000
20150403,1.025103
20150410,1.129727
20150417,1.121380
20150424,1.173870
20150501,1.170767
20150508,1.168287
20150515,1.217442
20150522,1.263131
20150529,1.212000
20150605,1.275181
20150612,1.312835
20150619,1.264208
20150626,1.215526
20150703,1.165408
20150710,1.105391
20150717,1.108960
20150724,1.112747
20150731,1.116534
20150807,1.120175
20150814,1.122287
20150821,1.127094
20150828,1.129789
20150904,1.131828
20150911,1.134960
20150918,1.136707
20150925,1.136635
20151002,1.138164
20151009,1.139329
20151016,1.141660
20151023,1.142752
20151030,1.147340
20151106,1.206079
20151113,1.147984
20151120,1.221748
20151127,1.213641
20151204,1.245492
20151211,1.206490
20151218,1.263661
20151225,1.273354
20160101,1.251526
20160108,1.165236
20160115,1.106729
20160122,1.108387
20160129,1.106246
20160205,1.106867
20160219,1.109630
20160226,1.111149
20160304,1.112116
20160311,1.115155
20160318,1.118194
20160325,1.119782
20160401,1.120956
20160408,1.121785
20160415,1.117365
20160422,1.107032
20160429,1.076278
20160506,1.048686
20160513,0.994340
20160520,0.996143
20160527,1.047146
20160603,1.027628
20160610,1.029020
20160617,1.031046
20160624,1.032629
20160701,1.036617
20160708,1.040668
20160715,1.043706
20160722,1.046808
20160729,1.048960
20160805,1.052442
20160812,1.117179
20160819,1.137281
20160826,1.142499
20160902,1.174135
20160909,1.166151
20160916,1.175214
20160923,1.235516
20160930,1.208503
20161014,1.212166
20161021,1.222154
20161028,1.205423
20161104,1.137709
20161111,1.124310
20161118,1.121881
20161125,1.121684
20161202,1.120043
20161209,1.118731
20161216,1.110723
20161223,1.103963
20161230,1.108951
20170106,1.113546
20170113,1.116302
20170120,1.114333
20170127,1.116302
20170203,1.113537
20170210,1.158746
20170217,1.167734
20170224,1.163847
20170303,1.173099
20170310,1.198056
20170317,1.242138
20170324,1.234678
20170331,1.233380
20170407,1.235959
20170414,1.231044
20170421,1.268790
20170428,1.307405
20170505,1.315018
20170512,1.384275
20170519,1.431236
20170526,1.422132
20170602,1.389946
20170609,1.395457
20170616,1.359267
20170623,1.419522
20170630,1.369016
20170707,1.369590
20170714,1.450016
20170721,1.477489
20170728,1.525535
20170804,1.536835
20170811,1.531101
20170818,1.548990
20170825,1.552644
20170901,1.563336
20170908,1.546312
20170915,1.612463
20170922,1.618937
20170929,1.591845
20171013,1.643635
20171020,1.634473
20171027,1.565128
20171103,1.609257
20171110,1.635337
20171117,1.679737
20171124,1.687257
20171201,1.561550
20171208,1.558370
20171215,1.586547
20171222,1.589495
20171229,1.564122
20180105,1.681142
20180112,1.694041
20180119,1.707788
20180126,1.771193
20180202,1.632963
20180209,1.515170
20180216,1.519627
20180223,1.575643
20180302,1.520896
20180309,1.585698
20180316,1.591976
20180323,1.479376
20180330,1.437667
20180406,1.439545
20180413,1.440851
20180420,1.448361
20180427,1.447137
20180504,1.446402
20180511,1.442157
20180518,1.440361
20180525,1.441096
20180601,1.442320
20180608,1.441014
20180615,1.442892
20180622,1.399153
20180629,1.335013
20180706,1.340688
20180713,1.355956
20180720,1.344126
20180727,1.339830
20180803,1.254751
20180810,1.255737
20180817,1.250316
20180824,1.245670
20180831,1.245740
20180907,1.248063
20180914,1.248274
20180921,1.250105
20180928,1.251372
20181012,1.256159
20181019,1.257426
20181026,1.260312
20181102,1.263480
20181109,1.266718
20181116,1.272561
20181123,1.276433
20181130,1.277489
20181207,1.281150
20181214,1.282980
20181221,1.282769
20181228,1.286007
20190104,1.289175
20190111,1.295722
20190118,1.297623
20190125,1.318507
20190201,1.320508
20190215,1.337292
20190222,1.392847
20190301,1.404673
20190308,1.372549
20190315,1.409583
20190322,1.367907
20190329,1.422983
20190405,1.461985
20190412,1.477576
20190419,1.472855
20190426,1.464058
20190503,1.481247
20190510,1.413514
20190517,1.360152
20190524,1.362613
20190531,1.365001
20190607,1.367679
20190614,1.368837
20190621,1.371080
20190628,1.374409
20190705,1.379402
20190712,1.381863
20190719,1.383600
20190726,1.385988
20190802,1.388882
20190809,1.392790
20190816,1.395902
20190823,1.397928
20190830,1.466878
20190906,1.495076
20190913,1.520996
20190920,1.512893
20190927,1.422127
20191004,1.422858
20191011,1.426221
20191018,1.439378
20191025,1.483152
20191101,1.508997
20191108,1.565375
20191115,1.521360
20191122,1.504319
20191129,1.544286
20191206,1.553467
20191213,1.555449
20191220,1.602500
20191227,1.618624
20200103,1.676189
20200110,1.722106
20200117,1.738153
20200124,1.666658
20200207,1.694297
20200214,1.720570
20200221,1.692746
20200228,1.598938
20200306,1.609128
20200313,1.483800
20200320,1.481473
20200327,1.483800
20200403,1.485544
20200410,1.491288
20200417,1.491288
20200424,1.494923
20200501,1.497104
20200508,1.495941
20200515,1.494414
20200522,1.496159
20200529,1.584619
20200605,1.704192
20200612,1.701472
20200619,1.846487
20200626,1.860323
20200703,1.939578
20200710,2.059675
20200717,1.925876
20200724,1.906245
20200731,1.979102
20200807,2.014644
20200814,1.940099
20200821,1.991980
20200828,2.076344
20200904,2.017596
20200911,1.936869
20200918,1.962401
20200925,1.914120
20201002,1.916707
20201009,1.918925
20201016,1.928997
20201023,1.893226
20201030,1.896496
20201106,1.899767
20201113,1.901956
20201120,1.850404
20201127,1.883401
20201204,1.835153
20201211,1.861995
20201218,1.889474
20201225,1.831128
20210101,1.894074
20210108,1.975944
20210115,1.965646
20210122,2.187473
20210129,2.085854
20210205,2.307959
20210212,2.423034
20210219,2.470418
20210226,2.159149
20210305,2.077527
20210312,2.069453
20210319,2.061330
20210326,1.848582
20210402,1.851122
20210409,1.852524
20210416,1.855239
20210423,1.859619
20210430,1.862159
20210507,1.865224
20210514,1.869691
20210521,1.874246
20210528,1.878363
20210604,1.880728
20210611,1.882655
20210618,1.884056
20210625,1.887822
20210702,1.892114
20210709,1.898946
20210716,1.906829
20210723,1.912610
20210730,1.915588
20210806,1.920581
20210813,1.921369
20210820,1.924610
20210827,1.925574
20210903,1.928026
20210910,1.928815
20210917,1.929603
20210924,1.930566
20211001,1.931442
20211008,1.933807
20211015,1.932143
20211022,1.935296
20211029,1.762887
20211105,1.768140
20211112,1.770447
20211119,1.674010
20211126,1.677088
20211203,1.679190
20211210,1.682568
20211217,1.685271
20211224,1.687148
20211231,1.689851
20220107,1.692779
20220114,1.696757
20220121,1.702013
20220128,1.705841
20220211,1.709445
20220218,1.710196
20220225,1.709595
20220304,1.708995
20220311,1.705616
20220318,1.706592
20220325,1.708169
20220401,1.711772
20220408,1.715977
20220415,1.720781
20220422,1.720856
20220429,1.722283
20220506,1.724009
20220513,1.729115
20220520,1.734820
20220527,1.738949
20220603,1.736322
20220610,1.927612
20220617,1.876080
20220624,1.978573
20220701,1.961615
20220708,1.926505
20220715,1.758684
20220722,1.828342
20220729,1.721423
20220805,1.741213
20220812,1.722480
20220819,1.678243
20220826,1.848482
20220902,1.785463
20220909,1.789086
20220916,1.790822
20220923,1.793162
20220930,1.791275
20221014,1.796180
20221021,1.799275
20221028,1.799652
20221104,1.801237
20221111,1.798747
20221118,1.782595
20221125,1.783652
20221202,1.774595
20221209,1.929069
20221216,1.850555
20221223,1.856777
20221230,1.826422
20230106,2.019782
20230113,2.045736
20230120,2.043613
20230203,1.994043
20230210,1.903309
20230217,1.886830
20230224,1.777944
20230303,1.892315
20230310,1.691559
20230317,1.697343
20230324,1.702769
20230331,1.705840
20230407,1.709910
20230414,1.714051
20230421,1.717050
20230428,1.721192
20230505,1.724548
20230512,1.729546
20230519,1.730831
20230526,1.733259
20230602,1.735544
20230609,1.737258
20230616,1.739114
20230623,1.737115
20230630,1.739185
20230707,1.743113
20230714,1.745326
20230721,1.690932
20230728,1.852033
20230804,1.829842
20230811,1.754240
20230818,1.645402
20230825,1.670029
20230901,1.754602
20230908,1.708542
20230915,1.709719
20230922,1.699015
20230929,1.650668
20231013,1.654072
20231020,1.654339
20231027,1.656074
20231103,1.659945
20231110,1.663149
20231117,1.667287
20231124,1.669556
20231201,1.672827
20231208,1.673962
20231215,1.678233
20231222,1.682705
20231229,1.688512
20240105,1.692383
20240112,1.696121
20240119,1.699992
20240126,1.703863
20240202,1.709270
20240209,1.712540
20240223,1.718347
20240301,1.722552
20240308,1.725288
20240315,1.724955
20240322,1.727891
20240329,1.728646
20240405,1.730915
20240412,1.715791
20240419,1.643895
20240426,1.867106
20240503,1.827252
20240510,1.941265
20240517,2.068811
20240524,1.925224
20240531,1.868980
20240607,1.876926
20240614,1.872431
20240621,1.835264
20240628,1.763988
20240705,1.766322
20240712,1.849740
20240719,1.720235
20240726,1.725289
20240802,1.728528
20240809,1.729111
20240816,1.728723
20240823,1.727945
20240830,1.725029
20240906,1.728269
20240913,1.728528
20240920,1.728787
20240927,1.726844
20241004,1.815064
20241011,1.825099
20241018,1.720889
20241025,1.698639
20241101,1.700046
20241108,1.740661
20241115,1.623537
20241122,1.607129
20241129,1.648623
20241206,1.675874
20241213,1.702407
20241220,1.662150
20241227,1.663014
20250103,1.667084
20250110,1.667269
20250117,1.666097
20250124,1.665851
20250131,1.666591
20250207,1.669613
20250214,1.842105
20250221,1.878504
20250228,1.745460
20250307,1.912028
20250314,1.879131
20250321,1.841441
20250328,1.829089
20250404,1.785143
20250411,1.560310
20250418,1.587172
20250425,1.643996
20250502,1.663545
20250509,1.666052
20250516,1.668314
20250523,1.670638
20250530,1.671372
20250606,1.672595
20250613,1.674429
20250620,1.676264
20250627,1.676202
20250704,1.678648
20250711,1.702984
20250718,1.798051
20250725,1.812079
20250801,1.748493
20250808,1.793265
20250815,1.858330
20250822,1.893374
20250829,1.863426
20250905,1.913687
20250912,2.025882
20250919,2.075847
20250926,2.034212
20251003,2.100070
20251010,2.004760
20251017,1.920904
20251024,2.007361
20251031,1.975408
20251107,1.936777
20251114,1.917830
20251121,1.793708
20251128,1.792995
20251205,1.792542
20251212,1.793578
20251219,1.794097
20251226,1.795651
20260102,1.796105
20260109,1.797076
20260116,1.798112
20260123,1.799926
20260130,1.801221
20260206,1.802582
20260213,1.804136
20260227,1.805820
20260306,1.807569
20260313,1.808411
20260320,1.809901
20260327,1.812038
20260403,1.813269
