date,value
20050407,1.0000
20050408,1.0001
20050411,0.9921
20050412,0.9922
20050413,0.9922
20050414,0.9784
20050415,0.9785
20050418,0.9786
20050419,0.9787
20050420,0.9787
20050421,0.9788
20050422,0.9789
20050425,0.9790
20050426,0.9791
20050427,0.9791
20050428,0.9792
20050429,0.9793
20050509,0.9794
20050510,0.9794
20050511,0.9795
20050512,0.9796
20050513,0.9797
20050516,0.9798
20050517,0.9798
20050518,0.9799
20050519,0.9800
20050520,0.9801
20050523,0.9801
20050524,0.9802
20050525,0.9803
20050526,0.9804
20050527,0.9805
20050530,0.9805
20050531,0.9806
20050601,0.9807
20050602,0.9808
20050603,0.9808
20050606,0.9809
20050607,0.9810
20050608,0.9811
20050609,0.9812
20050610,0.9812
20050613,0.9813
20050614,0.9814
20050615,0.9815
20050616,0.9815
20050617,0.9816
20050620,0.9817
20050621,0.9818
20050622,0.9819
20050623,0.9819
20050624,0.9820
20050627,0.9821
20050628,0.9689
20050629,0.9690
20050630,0.9690
20050701,0.9691
20050704,0.9692
20050705,0.9693
20050706,0.9693
20050707,0.9694
20050708,0.9695
20050711,0.9696
20050712,0.9697
20050713,0.9697
20050714,0.9698
20050715,0.9699
20050718,0.9700
20050719,0.9700
20050720,0.9701
20050721,0.9702
20050722,0.9703
20050725,0.9703
20050726,0.9704
20050727,0.9898
20050728,0.9864
20050729,0.9834
20050801,0.9872
20050802,1.0004
20050803,1.0071
20050804,1.0011
20050805,1.0228
20050808,1.0269
20050809,1.0331
20050810,1.0412
20050811,1.0562
20050812,1.0389
20050815,1.0568
20050816,1.0464
20050817,1.0552
20050818,1.0193
20050819,1.0220
20050822,1.0315
20050823,1.0224
20050824,1.0304
20050825,1.0298
20050826,1.0278
20050829,1.0157
20050830,1.0129
20050831,1.0274
20050901,1.0458
20050902,1.0495
20050905,1.0548
20050906,1.0370
20050907,1.0549
20050908,1.0577
20050909,1.0508
20050912,1.0513
20050913,1.0671
20050914,1.0742
20050915,1.0735
20050916,1.0712
20050919,1.0752
20050920,1.0650
20050921,1.0456
20050922,1.0222
20050923,1.0143
20050926,1.0169
20050927,1.0011
20050928,1.0012
20050929,1.0013
20050930,1.0028
20051010,0.9918
20051011,0.9919
20051012,0.9960
20051013,0.9884
20051014,0.9885
20051017,0.9886
20051018,0.9887
20051019,0.9887
20051020,0.9888
20051021,0.9889
20051024,0.9890
20051025,0.9890
20051026,0.9891
20051027,0.9892
20051028,0.9893
20051031,0.9894
20051101,0.9894
20051102,0.9895
20051103,0.9896
20051104,0.9897
20051107,0.9898
20051108,0.9898
20051109,0.9899
20051110,0.9900
20051111,0.9901
20051114,0.9901
20051115,0.9902
20051116,0.9903
20051117,0.9904
20051118,0.9905
20051121,0.9905
20051122,0.9906
20051123,0.9907
20051124,0.9908
20051125,0.9909
20051128,0.9909
20051129,0.9910
20051130,0.9911
20051201,0.9912
20051202,0.9912
20051205,0.9913
20051206,0.9914
20051207,0.9915
20051208,0.9916
20051209,0.9916
20051212,0.9917
20051213,0.9918
20051214,0.9919
20051215,0.9900
20051216,0.9967
20051219,0.9971
20051220,1.0020
20051221,0.9974
20051222,1.0036
20051223,1.0115
20051226,1.0186
20051227,1.0153
20051228,1.0170
20051229,1.0293
20051230,1.0198
20060104,1.0397
20060105,1.0592
20060106,1.0713
20060109,1.0770
20060110,1.0802
20060111,1.0751
20060112,1.0864
20060113,1.0810
20060116,1.0618
20060117,1.0649
20060118,1.0863
20060119,1.0947
20060120,1.0970
20060123,1.1001
20060124,1.1034
20060125,1.1150
20060206,1.1411
20060207,1.1374
20060208,1.1409
20060209,1.1260
20060210,1.1401
20060213,1.1393
20060214,1.1469
20060215,1.1504
20060216,1.1266
20060217,1.1269
20060220,1.1283
20060221,1.1472
20060222,1.1462
20060223,1.1500
20060224,1.1590
20060227,1.1572
20060228,1.1629
20060301,1.1669
20060302,1.1471
20060303,1.1504
20060306,1.1473
