date,value
20210709,1.000000
20210712,0.978094
20210713,0.974843
20210714,0.995277
20210715,0.971602
20210716,0.991230
20210719,0.984749
20210720,0.986307
20210721,0.974171
20210722,0.971502
20210723,0.993148
20210726,1.049905
20210727,1.110146
20210728,1.106971
20210729,1.075883
20210730,1.089420
20210802,1.046983
20210803,1.046734
20210804,1.031365
20210805,1.041814
20210806,1.051200
20210809,1.029042
20210810,1.009102
20210811,1.018731
20210812,1.033269
20210813,1.042745
20210816,1.044445
20210817,1.080339
20210818,1.060659
20210819,1.071773
20210820,1.103927
20210823,1.080865
20210824,1.062685
20210825,1.059302
20210826,1.092730
20210827,1.083926
20210830,1.088693
20210831,1.091345
20210901,1.069239
20210902,1.069256
20210903,1.078379
20210906,1.046987
20210907,1.026525
20210908,1.033691
20210909,1.034425
20210910,1.019361
20210913,1.026930
20210914,1.052724
20210915,1.069980
20210916,1.090622
20210917,1.073920
20210922,1.085750
20210923,1.074868
20210924,1.076174
20210927,1.066500
20210928,1.064263
20210929,1.081540
20210930,1.070305
20211008,1.048299
20211011,1.046135
20211012,1.064260
20211013,1.044778
20211014,1.053953
20211015,1.047547
20211018,1.067397
20211019,1.050799
20211020,1.055140
20211021,1.048964
20211022,1.037985
20211025,1.031133
20211026,1.036818
20211027,1.059302
20211028,1.071081
20211029,1.055628
20211101,1.061888
20211102,1.079491
20211103,1.085979
20211104,1.069488
20211105,1.078625
20211108,1.076606
20211109,1.077105
20211110,1.085951
20211111,1.059132
20211112,1.062692
20211115,1.064765
20211116,1.064440
20211117,1.063599
20211118,1.080263
20211119,1.062106
20211122,1.054372
20211123,1.054043
20211124,1.052897
20211125,1.059897
20211126,1.072469
20211129,1.075485
20211130,1.082198
20211201,1.078106
20211202,1.073844
20211203,1.058312
20211206,1.061220
20211207,1.051013
20211208,1.025451
20211209,0.996797
20211210,1.004958
20211213,0.995028
20211214,1.006835
20211215,1.021999
20211216,1.012018
20211217,1.039705
20211220,1.065444
20211221,1.053994
20211222,1.053662
20211223,1.041790
20211224,1.051276
20211227,1.051976
20211228,1.039290
20211229,1.064385
20211230,1.051218
20211231,1.044688
20220104,1.044688
20220105,1.049795
20220106,1.054926
20220107,1.054500
20220110,1.052270
20220111,1.057030
20220112,1.052113
20220113,1.060306
20220114,1.064337
20220117,1.060167
20220118,1.055428
20220119,1.058819
20220120,1.054383
20220121,1.058929
20220124,1.058165
20220125,1.069303
20220126,1.065821
20220127,1.075328
20220128,1.081099
20220207,1.073866
20220208,1.076470
20220209,1.072018
20220210,1.073273
20220211,1.077229
20220214,1.082342
20220215,1.077362
20220216,1.075522
20220217,1.074373
20220218,1.072102
20220221,1.073844
20220222,1.080031
20220223,1.075002
20220224,1.084642
20220225,1.080106
20220228,1.079260
20220301,1.075347
20220302,1.079574
20220303,1.082348
20220304,1.088025
20220307,1.102801
20220308,1.111790
20220309,1.115805
20220310,1.108966
20220311,1.107559
20220314,1.121111
20220315,1.140752
20220316,1.123033
20220317,1.114638
20220318,1.111737
20220321,1.112472
20220322,1.112827
20220323,1.110645
20220324,1.113238
20220325,1.121131
20220328,1.123816
20220329,1.125289
20220330,1.112951
20220331,1.116191
20220401,1.110682
20220406,1.111949
20220407,1.117579
20220408,1.115350
20220411,1.128794
20220412,1.120576
20220413,1.124713
20220414,1.119382
20220415,1.119672
20220418,1.121973
20220419,1.125211
20220420,1.131805
20220421,1.139516
20220422,1.137724
20220425,1.158125
20220426,1.161292
20220427,1.149831
20220428,1.147201
20220429,1.137416
20220505,1.138037
20220506,1.148465
20220509,1.151693
20220510,1.147329
20220511,1.141512
20220512,1.143331
20220513,1.140259
20220516,1.143557
20220517,1.138481
20220518,1.139919
20220519,1.139128
20220520,1.131105
20220523,1.133535
20220524,1.143288
20220525,1.140817
20220526,1.139803
20220527,1.138953
20220530,1.136102
20220531,1.129673
20220601,1.130531
20220602,1.129874
20220606,1.122003
20220607,1.120662
20220608,1.116478
20220609,1.121018
20220610,1.114505
20220613,1.119611
20220614,1.116221
20220615,1.110470
20220616,1.113366
20220617,1.107300
20220620,1.105100
20220621,1.105600
20220622,1.111252
20220623,1.103716
20220624,1.098482
20220627,1.093391
20220628,1.088633
20220629,1.095747
20220630,1.089200
20220701,1.091081
20220704,1.088067
20220705,1.088734
20220706,1.095478
20220707,1.093473
20220708,1.094984
20220711,1.102612
20220712,1.106829
20220713,1.106022
20220714,1.105960
20220715,1.113524
20220718,1.108992
20220719,1.111383
20220720,1.109896
20220721,1.114806
20220722,1.114583
20220725,1.117215
20220726,1.113786
20220727,1.115940
20220728,1.115875
20220729,1.121591
20220801,1.119680
20220802,1.128079
20220803,1.132197
20220804,1.128643
20220805,1.122947
20220808,1.123857
20220809,1.123011
20220810,1.127799
20220811,1.119180
20220812,1.119426
20220815,1.119988
20220816,1.120795
20220817,1.116771
20220818,1.120562
20220819,1.123548
20220822,1.120428
20220823,1.122519
20220824,1.130609
20220825,1.127131
20220826,1.128024
20220829,1.129879
20220830,1.131291
20220831,1.130977
20220901,1.134588
20220902,1.136658
20220905,1.137500
20220906,1.133709
20220907,1.133432
20220908,1.135211
20220909,1.129440
20220913,1.127658
20220914,1.132364
20220915,1.136297
20220916,1.146011
20220919,1.146492
20220920,1.145995
20220921,1.148989
20220922,1.152526
20220923,1.153896
20220926,1.155885
20220927,1.150164
20220928,1.156705
20220929,1.156867
20220930,1.159155
20221010,1.167790
20221011,1.167096
20221012,1.161272
20221013,1.164526
20221014,1.155290
20221017,1.154885
20221018,1.155722
20221019,1.162072
20221020,1.164294
20221021,1.165532
20221024,1.176797
20221025,1.177406
20221026,1.174377
20221027,1.177027
20221028,1.186264
20221031,1.189620
20221101,1.176715
20221102,1.172226
20221103,1.175303
20221104,1.163035
20221107,1.162199
20221108,1.164870
20221109,1.168476
20221110,1.171416
20221111,1.160847
20221114,1.160273
20221115,1.152873
20221116,1.156121
20221117,1.157739
20221118,1.159497
20221121,1.162833
20221122,1.162788
20221123,1.162381
20221124,1.164101
20221125,1.162149
20221128,1.166525
20221129,1.154678
20221130,1.154203
20221201,1.149910
20221202,1.152360
20221205,1.144550
20221206,1.142358
20221207,1.143361
20221208,1.143285
20221209,1.139268
20221212,1.143876
20221213,1.144674
20221214,1.143727
20221215,1.144025
20221216,1.143794
20221219,1.150070
20221220,1.156673
20221221,1.156517
20221222,1.155952
20221223,1.156756
20221226,1.155185
20221227,1.150622
20221228,1.152329
20221229,1.153826
20221230,1.152290
20230103,1.152290
20230104,1.153806
20230105,1.176510
20230106,1.180205
20230109,1.189880
20230110,1.191186
20230111,1.188952
20230112,1.191306
20230113,1.208269
20230116,1.227355
20230117,1.227139
20230118,1.225059
20230119,1.232774
20230120,1.240434
20230130,1.246384
20230131,1.233029
20230201,1.244757
20230202,1.240320
20230203,1.228457
20230206,1.212022
20230207,1.214228
20230208,1.208798
20230209,1.225224
20230210,1.217854
20230213,1.229039
20230214,1.229556
20230215,1.223072
20230216,1.214006
20230217,1.196301
20230220,1.226013
20230221,1.229274
20230222,1.218047
20230223,1.217056
20230224,1.204268
20230227,1.199102
20230228,1.206792
20230301,1.224047
20230302,1.221286
20230303,1.225131
20230306,1.218665
20230307,1.200606
20230308,1.196181
20230309,1.191900
20230310,1.176077
20230313,1.188550
20230314,1.181349
20230315,1.182009
20230316,1.167675
20230317,1.173580
20230320,1.167654
20230321,1.180652
20230322,1.185773
20230323,1.197676
20230324,1.194062
20230327,1.189688
20230328,1.185794
20230329,1.187785
20230330,1.197508
20230331,1.201230
20230403,1.213129
20230404,1.216894
20230406,1.214952
20230407,1.222949
20230410,1.217404
20230411,1.216005
20230412,1.215147
20230413,1.206648
20230414,1.213559
20230417,1.230783
20230418,1.234581
20230419,1.223333
20230420,1.219869
20230421,1.195719
20230424,1.180730
20230425,1.174735
20230426,1.173703
20230427,1.182465
20230428,1.194674
20230504,1.195022
20230505,1.191009
20230508,1.204751
20230509,1.194311
20230510,1.185002
20230511,1.183138
20230512,1.167258
20230515,1.185608
20230516,1.179400
20230517,1.173985
20230518,1.172754
20230519,1.169293
20230522,1.176735
20230523,1.159882
20230524,1.143642
20230525,1.141063
20230526,1.141199
20230529,1.136092
20230530,1.137236
20230531,1.125466
20230601,1.127966
20230602,1.144465
20230605,1.139187
20230606,1.128354
20230607,1.122704
20230608,1.131965
20230609,1.136921
20230612,1.139241
20230613,1.145389
20230614,1.145122
20230615,1.163578
20230616,1.174940
20230619,1.165202
20230620,1.163199
20230621,1.145125
20230626,1.128816
20230627,1.139542
20230628,1.138152
20230629,1.132460
20230630,1.138647
20230703,1.153785
20230704,1.155626
20230705,1.146560
20230706,1.138737
20230707,1.133619
20230710,1.139211
20230711,1.146764
20230712,1.138944
20230713,1.155448
20230714,1.155653
20230717,1.146068
20230718,1.142396
20230719,1.141175
20230720,1.133015
20230721,1.132481
20230724,1.127471
20230725,1.160462
20230726,1.158027
20230727,1.156628
20230728,1.183762
20230731,1.190333
20230801,1.185341
20230802,1.176906
20230803,1.187436
20230804,1.192119
20230807,1.182985
20230808,1.179857
20230809,1.176206
20230810,1.178653
20230811,1.151195
20230814,1.142687
20230815,1.139875
20230816,1.131406
20230817,1.135240
20230818,1.121101
20230821,1.104759
20230822,1.113365
20230823,1.094874
20230824,1.102919
20230825,1.098632
20230828,1.111681
20230829,1.122935
20230830,1.122455
20230831,1.115479
20230901,1.123349
20230904,1.140598
20230905,1.132004
20230906,1.129515
20230907,1.113437
20230908,1.107890
20230911,1.116160
20230912,1.114077
20230913,1.106887
20230914,1.105945
20230915,1.098521
