date,value
20140418,1.003899
20140421,1.003899
20140422,1.005840
20140423,1.007778
20140424,1.008746
20140425,1.008746
20140428,1.002948
20140429,1.005864
20140430,1.006833
20140505,1.007801
20140506,1.010702
20140507,1.005880
20140508,1.007819
20140509,1.007819
20140512,1.008786
20140513,1.012651
20140514,1.014576
20140515,1.012654
20140516,1.008804
20140519,1.009770
20140520,1.010736
20140521,1.005719
20140522,1.010545
20140523,1.011698
20140526,1.018804
20140527,1.020909
20140528,1.030112
20140529,1.028018
20140530,1.037216
20140603,1.037067
20140604,1.038034
20140605,1.041102
20140606,1.051269
20140609,1.052239
20140610,1.049174
20140611,1.050305
20140612,1.047242
20140613,1.039174
20140616,1.040144
20140617,1.043209
20140618,1.041114
20140619,1.054184
20140620,1.055152
20140623,1.055152
20140624,1.055152
20140625,1.051287
20140626,1.058384
20140627,1.061447
20140630,1.062419
20140701,1.064510
20140702,1.071604
20140703,1.072715
20140704,1.082859
20140707,1.084934
20140708,1.080901
20140709,1.069676
20140710,1.073709
20140711,1.066619
20140714,1.070786
20140715,1.076894
20140716,1.073842
20140717,1.076895
20140718,1.067849
20140721,1.077877
20140722,1.076897
20140723,1.079949
20140724,1.084086
20140725,1.082025
20140728,1.079960
20140729,1.079960
20140730,1.077997
20140731,1.079078
20140801,1.059905
20140804,1.059905
20140805,1.061967
20140806,1.057850
20140807,1.057850
20140808,1.053718
20140811,1.059941
20140812,1.062003
20140813,1.059945
20140814,1.066131
20140815,1.070232
20140818,1.070232
20140819,1.081287
20140820,1.087340
20140821,1.086292
20140822,1.090306
20140825,1.089320
20140826,1.098400
20140827,1.098400
20140828,1.095376
20140829,1.091304
20140901,1.097361
20140902,1.103414
20140903,1.103473
20140904,1.094367
20140905,1.093381
20140909,1.097461
20140910,1.090424
20140911,1.090424
20140912,1.093393
20140915,1.088393
20140916,1.079315
20140917,1.090371
20140918,1.093399
20140919,1.104453
20140922,1.098402
20140923,1.090374
20140924,1.083333
20140925,1.092420
20140926,1.073340
20140929,1.073340
20140930,1.073340
20141008,1.050436
20141009,1.050436
20141010,1.050436
20141013,1.050436
20141014,1.050436
20141015,1.050436
20141016,1.050436
20141017,1.050436
20141020,1.050436
20141021,1.050436
20141022,1.050436
20141023,1.050436
20141024,1.050436
20141027,1.050436
20141028,1.048454
20141029,1.054411
20141030,1.053447
20141031,1.065110
20141103,1.072915
20141104,1.073933
20141105,1.071959
20141106,1.073883
20141107,1.081688
20141110,1.079767
20141111,1.083616
20141112,1.079714
20141113,1.080740
20141114,1.080740
20141117,1.080796
20141118,1.082726
20141119,1.092506
20141120,1.084660
20141121,1.089580
20141124,1.084668
20141125,1.094453
20141126,1.097392
20141127,1.102303
20141128,1.102303
20141201,1.098436
20141202,1.088649
20141203,1.097461
20141204,1.100364
20141205,1.096462
20141208,1.099357
20141209,1.087650
20141210,1.097485
20141211,1.076974
20141212,1.073114
20141215,1.065309
20141216,1.063343
20141217,1.055467
20141218,1.055467
20141219,1.086241
20141222,1.083329
20141223,1.088122
20141224,1.088078
20141225,1.086185
20141226,1.086185
20141229,1.092922
20141230,1.090029
20141231,1.085188
20150105,1.068812
20150106,1.053514
20150107,1.050677
20150108,1.050677
20150109,1.065798
20150112,1.057306
20150113,1.044050
20150114,1.042189
20150115,1.042189
20150116,1.042189
20150119,1.042189
20150120,1.042189
20150121,1.042189
20150122,1.042189
20150123,1.058040
20150126,1.051611
20150127,1.053459
20150128,1.038484
20150129,1.032051
20150130,1.032051
20150202,1.032051
20150203,1.032051
20150204,1.032051
20150205,1.027451
20150206,1.027451
20150209,1.023742
20150210,1.021039
20150211,1.027364
20150212,1.030175
20150213,1.046622
20150216,1.053054
20150217,1.053962
20150225,1.064005
20150226,1.061263
20150227,1.063099
20150302,1.063099
20150303,1.075898
20150304,1.073161
20150305,1.066774
20150306,1.072257
20150309,1.061306
20150310,1.061306
20150311,1.043055
20150312,1.044875
20150313,1.049434
20150316,1.045784
20150317,1.055827
20150318,1.054009
20150319,1.065870
20150320,1.063142
20150323,1.068616
20150324,1.065885
20150325,1.061322
20150326,1.046721
20150327,1.046721
20150330,1.043086
20150331,1.044910
20150401,1.034907
20150402,1.033079
20150403,1.034009
20150407,1.035836
20150408,1.033110
20150409,1.034935
20150410,1.038579
20150413,1.038579
20150414,1.035861
20150415,1.037678
20150416,1.042210
20150417,1.044929
20150420,1.032243
20150421,1.032243
20150422,1.032264
20150423,1.035852
20150424,1.045729
20150427,1.052898
20150428,1.047525
20150429,1.048425
20150430,1.043939
20150504,1.042151
20150505,1.044846
20150506,1.031393
20150507,1.031393
20150508,1.036783
20150511,1.042158
20150512,1.041263
20150513,1.038578
20150514,1.038578
20150515,1.042147
20150518,1.040368
20150519,1.043050
20150520,1.040372
20150521,1.041269
20150522,1.047514
20150525,1.046620
20150526,1.044840
20150527,1.038595
20150528,1.049302
20150529,1.048428
20150601,1.042186
20150602,1.043965
20150603,1.037723
20150604,1.039500
20150605,1.037717
20150608,1.036839
20150609,1.029725
20150610,1.029725
20150611,1.036827
20150612,1.037715
20150615,1.030616
20150616,1.028845
20150617,1.027071
20150618,1.027071
20150619,1.027071
20150623,1.038521
20150624,1.038554
20150625,1.032382
20150626,1.030609
20150629,1.025350
20150630,1.012110
20150701,1.012110
20150702,1.012110
20150703,1.012110
20150706,1.012110
20150707,1.012110
20150708,1.012110
20150709,1.012110
20150710,1.012110
20150713,1.012110
20150714,1.012110
20150715,1.015606
20150716,1.006036
20150717,1.011240
20150720,1.024101
20150721,1.032677
20150722,1.023284
20150723,1.026724
20150724,1.022454
20150727,1.004354
20150728,1.000961
20150729,1.011175
20150730,1.022252
20150731,1.024803
20150803,1.025613
20150804,1.016293
20150805,1.013797
20150806,1.022285
20150807,1.009532
20150810,1.008710
20150811,1.047915
20150812,1.036197
20150813,1.046457
20150814,1.048150
20150817,1.055895
20150818,1.065269
20150819,1.057602
20150820,1.044814
20150821,1.017487
20150824,0.950780
20150825,0.950780
20150826,0.950780
20150827,0.950780
20150828,0.950780
20150831,0.947568
20150901,0.947568
20150902,0.947568
20150907,0.947568
20150908,0.947568
20150909,0.947568
20150910,0.947568
20150911,0.947568
20150914,0.947568
20150915,0.947568
20150916,0.947568
20150917,0.949174
20150918,0.947543
20150921,0.941141
