date,value
20050407,1.000000
20050408,1.000000
20050411,1.000000
20050412,1.000000
20050413,1.000000
20050414,1.000000
20050415,1.000000
20050418,1.000000
20050419,1.000000
20050420,1.000000
20050421,1.000000
20050422,1.000000
20050425,1.000000
20050426,1.000000
20050427,1.000000
20050428,1.000000
20050429,1.000000
20050509,1.000000
20050510,1.000000
20050511,1.000000
20050512,1.000000
20050513,1.000000
20050516,1.000000
20050517,1.000000
20050518,1.000000
20050519,1.000000
20050520,1.000000
20050523,1.000000
20050524,1.000000
20050525,1.000000
20050526,1.000000
20050527,1.000000
20050530,1.000000
20050531,1.000000
20050601,1.000000
20050602,1.000000
20050603,1.000000
20050606,1.000000
20050607,1.000000
20050608,1.000000
20050609,1.000000
20050610,1.000000
20050613,1.000000
20050614,1.000000
20050615,1.000000
20050616,1.000000
20050617,1.000000
20050620,1.000000
20050621,1.000000
20050622,1.000000
20050623,1.000000
20050624,1.000000
20050627,1.000000
20050628,1.000000
20050629,1.000000
20050630,1.000000
20050701,1.000000
20050704,1.000000
20050705,1.000000
20050706,1.000000
20050707,1.000000
20050708,1.000000
20050711,1.000000
20050712,1.000000
20050713,1.000000
20050714,1.000000
20050715,1.000000
20050718,1.000000
20050719,1.000000
20050720,1.000000
20050721,1.000000
20050722,1.000000
20050725,1.000000
20050726,1.000000
20050727,1.000000
20050728,1.000000
20050729,1.000000
20050801,1.000000
20050802,1.000000
20050803,1.000000
20050804,1.000000
20050805,1.000000
20050808,1.015613
20050809,1.033472
20050810,1.045721
20050811,1.057145
20050812,1.036265
20050815,1.065815
20050816,1.065294
20050817,1.084677
20050818,1.041685
20050819,1.041951
20050822,1.055444
20050823,1.036925
20050824,1.049377
20050825,1.061689
20050826,1.066779
20050829,1.056396
20050830,1.050430
20050831,1.072758
20050901,1.098474
20050902,1.107461
20050905,1.122452
20050906,1.094781
20050907,1.127313
20050908,1.129306
20050909,1.116372
20050912,1.121525
20050913,1.147864
20050914,1.161407
20050915,1.165888
20050916,1.164784
20050919,1.181095
20050920,1.173060
20050921,1.154820
20050922,1.117019
20050923,1.102473
20050926,1.110457
20050927,1.087761
20050928,1.087761
20050929,1.111919
20050930,1.109648
20051010,1.095916
20051011,1.121274
20051012,1.132874
20051013,1.127437
20051014,1.117994
20051017,1.121452
20051018,1.140518
20051019,1.131087
20051020,1.131394
20051021,1.142216
20051024,1.145700
20051025,1.119946
20051026,1.089892
20051027,1.081674
20051028,1.081674
20051031,1.081674
20051101,1.081674
20051102,1.081674
20051103,1.081674
20051104,1.081674
20051107,1.081674
20051108,1.081674
20051109,1.081674
20051110,1.081674
20051111,1.081674
20051114,1.081674
20051115,1.081674
20051116,1.081674
20051117,1.081674
20051118,1.081674
20051121,1.081674
20051122,1.081674
20051123,1.081674
20051124,1.081674
20051125,1.081674
20051128,1.081674
20051129,1.081674
20051130,1.081674
20051201,1.081674
20051202,1.081674
20051205,1.081674
20051206,1.081674
20051207,1.081674
20051208,1.081674
20051209,1.081674
20051212,1.081674
20051213,1.081674
20051214,1.081674
20051215,1.081674
20051216,1.081674
20051219,1.081674
20051220,1.081674
20051221,1.081674
20051222,1.081674
20051223,1.081674
20051226,1.091370
20051227,1.093110
20051228,1.096538
20051229,1.108742
20051230,1.100273
20060104,1.115112
20060105,1.129183
20060106,1.140964
20060109,1.157760
20060110,1.165589
20060111,1.159590
20060112,1.186350
20060113,1.192849
20060116,1.177281
20060117,1.175938
20060118,1.201342
20060119,1.215119
20060120,1.218778
20060123,1.229395
20060124,1.228474
20060125,1.225199
20060206,1.254774
20060207,1.255619
20060208,1.257371
20060209,1.240281
20060210,1.254634
20060213,1.250284
20060214,1.250284
20060215,1.250284
20060216,1.215330
20060217,1.215330
20060220,1.215330
20060221,1.215330
20060222,1.215330
20060223,1.215330
20060224,1.215330
20060227,1.215330
20060228,1.215330
20060301,1.215330
20060302,1.215330
20060303,1.215330
20060306,1.215330
20060307,1.215330
20060308,1.215330
20060309,1.215330
20060310,1.215330
20060313,1.215330
20060314,1.215330
20060315,1.215330
20060316,1.215330
20060317,1.213029
20060320,1.228981
20060321,1.233852
20060322,1.249546
20060323,1.260729
20060324,1.252284
20060327,1.264984
20060328,1.278313
20060329,1.278313
20060330,1.264552
20060331,1.281580
20060403,1.314303
20060404,1.314303
20060405,1.327673
20060406,1.334028
20060407,1.352285
20060410,1.380910
20060411,1.385582
20060412,1.386962
20060413,1.345423
20060414,1.345423
20060417,1.345423
20060418,1.345423
20060419,1.345423
20060420,1.345423
20060421,1.345423
20060424,1.345423
20060425,1.345423
20060426,1.345423
20060427,1.345423
20060428,1.345423
20060508,1.345423
20060509,1.345423
20060510,1.345423
20060511,1.345423
20060512,1.345423
20060515,1.345423
20060516,1.345423
20060517,1.345423
20060518,1.345423
20060519,1.345423
20060522,1.345423
20060523,1.345423
20060524,1.345423
20060525,1.345423
20060526,1.345423
20060529,1.345423
20060530,1.345423
20060531,1.345423
20060601,1.345423
20060602,1.345423
20060605,1.345423
20060606,1.345423
20060607,1.345423
20060608,1.345423
20060609,1.345423
20060612,1.345423
20060613,1.345423
20060614,1.345423
20060615,1.345423
20060616,1.345423
20060619,1.345423
20060620,1.345423
20060621,1.345423
20060622,1.345423
20060623,1.345423
20060626,1.345423
20060627,1.345423
20060628,1.345423
20060629,1.345423
20060630,1.345423
20060703,1.345423
20060704,1.345423
20060705,1.345423
20060706,1.382722
20060707,1.384582
20060710,1.392479
20060711,1.403079
20060712,1.403277
20060713,1.311393
20060714,1.311393
20060717,1.333082
20060718,1.343606
20060719,1.313070
20060720,1.313070
20060721,1.313070
20060724,1.316210
20060725,1.335171
20060726,1.340175
20060727,1.324960
20060728,1.312252
20060731,1.253267
20060801,1.253267
20060802,1.253267
20060803,1.253267
20060804,1.253267
20060807,1.253267
20060808,1.253267
20060809,1.253267
20060810,1.253267
20060811,1.253267
20060814,1.253267
20060815,1.253267
20060816,1.253267
20060817,1.253267
20060818,1.253267
20060821,1.253267
20060822,1.253267
20060823,1.253267
20060824,1.253267
20060825,1.253267
20060828,1.253267
20060829,1.252510
20060830,1.263019
20060831,1.272685
20060901,1.248649
20060904,1.276589
20060905,1.281500
20060906,1.287399
20060907,1.266330
20060908,1.267542
20060911,1.274431
20060912,1.279427
20060913,1.260766
20060914,1.262279
20060915,1.276804
