date,value
20200402,1.0000
20200403,1.0001
20200407,1.0289
20200408,1.0219
20200409,1.0193
20200410,0.9796
20200413,0.9646
20200414,0.9933
20200415,1.0072
20200416,1.0106
20200417,1.0339
20200420,1.0490
20200421,1.0359
20200422,1.0513
20200423,1.0641
20200424,1.0590
20200427,1.0534
20200428,1.0306
20200429,1.0206
20200430,1.0795
20200506,1.1546
20200507,1.1330
20200508,1.1330
20200511,1.1331
20200512,1.1332
20200513,1.1333
20200514,1.1334
20200515,1.1335
20200518,1.1336
20200519,1.1337
20200520,1.1338
20200521,1.1339
20200522,1.1339
20200525,1.1340
20200526,1.1341
20200527,1.1342
20200528,1.1343
20200529,1.1344
20200601,1.1345
20200602,1.1346
20200603,1.1347
20200604,1.1348
20200605,1.1348
20200608,1.1349
20200609,1.1350
20200610,1.1351
20200611,1.1352
20200612,1.1353
20200615,1.1354
20200616,1.1355
20200617,1.1356
20200618,1.1357
20200619,1.1358
20200622,1.1358
20200623,1.1359
20200624,1.1360
20200629,1.1361
20200630,1.1362
20200701,1.1363
20200702,1.1364
20200703,1.1365
20200706,1.1366
20200707,1.1367
20200708,1.1367
20200709,1.1368
20200710,1.1369
20200713,1.1370
20200714,1.1371
20200715,1.1372
20200716,1.1373
20200717,1.1374
20200720,1.1375
20200721,1.1376
20200722,1.1376
20200723,1.1377
20200724,1.1378
20200727,1.1379
20200728,1.1380
20200729,1.1381
20200730,1.1382
20200731,1.1383
20200803,1.1384
20200804,1.1385
20200805,1.1385
20200806,1.1386
20200807,1.1387
20200810,1.1388
20200811,1.1389
20200812,1.1390
20200813,1.1391
20200814,1.1392
20200817,1.1393
20200818,1.1394
20200819,1.1395
20200820,1.1395
20200821,1.1396
20200824,1.1397
20200825,1.1398
20200826,1.1399
20200827,1.1400
20200828,1.1401
20200831,1.1402
20200901,1.1403
20200902,1.1373
20200903,1.1207
20200904,1.1112
20200907,1.0844
20200908,1.0747
20200909,1.0375
20200910,1.0232
20200911,1.0490
20200914,1.0775
20200915,1.0907
20200916,1.0787
20200917,1.1059
20200918,1.1221
20200921,1.1172
20200922,1.1110
20200923,1.1381
20200924,1.1149
20200925,1.0902
20200928,1.0702
20200929,1.1109
20200930,1.1110
20201009,1.1480
20201012,1.1672
20201013,1.1727
20201014,1.1657
20201015,1.1384
20201016,1.1265
20201019,1.1058
20201020,1.1168
20201021,1.0939
20201022,1.0780
20201023,1.0466
20201026,1.0619
20201027,1.0851
20201028,1.1011
20201029,1.1058
20201030,1.0915
20201102,1.0970
20201103,1.1347
20201104,1.1424
20201105,1.1553
20201106,1.1554
20201109,1.1555
20201110,1.1556
20201111,1.1557
20201112,1.1558
20201113,1.1559
20201116,1.1560
20201117,1.1561
20201118,1.1562
20201119,1.1563
20201120,1.1563
20201123,1.1564
20201124,1.1565
20201125,1.1566
20201126,1.1567
20201127,1.1568
20201130,1.1569
20201201,1.1570
20201202,1.1571
20201203,1.1572
20201204,1.1573
20201207,1.1574
20201208,1.1574
20201209,1.1575
20201210,1.1576
20201211,1.1577
20201214,1.1578
20201215,1.1579
20201216,1.1580
20201217,1.1581
20201218,1.1582
20201221,1.1583
20201222,1.1584
20201223,1.1585
20201224,1.1585
20201225,1.1586
20201228,1.1587
20201229,1.1588
20201230,1.1589
20201231,1.1590
20210104,1.1591
20210105,1.1592
20210106,1.1593
20210107,1.1594
20210108,1.1595
20210111,1.1596
20210112,1.1597
20210113,1.1597
20210114,1.1598
20210115,1.1599
20210118,1.1600
20210119,1.1601
20210120,1.1602
20210121,1.1603
20210122,1.1604
20210125,1.1605
20210126,1.1606
20210127,1.1607
20210128,1.1608
20210129,1.1609
20210201,1.1609
20210202,1.1610
20210203,1.1611
20210204,1.1612
20210205,1.1613
20210208,1.1614
20210209,1.1615
20210210,1.1616
20210218,1.1617
20210219,1.1618
20210222,1.1619
20210223,1.1620
20210224,1.1620
20210225,1.1621
20210226,1.1622
20210301,1.1623
20210302,1.1624
20210303,1.1625
20210304,1.1626
20210305,1.1627
20210308,1.1628
20210309,1.1629
20210310,1.1630
20210311,1.1631
20210312,1.1632
20210315,1.1282
20210316,1.1254
20210317,1.1403
20210318,1.1447
20210319,1.1355
20210322,1.1460
20210323,1.1402
20210324,1.1264
20210325,1.1248
20210326,1.1589
20210329,1.1534
20210330,1.1512
20210331,1.1513
20210401,1.1683
20210402,1.1989
20210406,1.1958
20210407,1.1978
20210408,1.1914
20210409,1.1726
20210412,1.1468
20210413,1.1469
20210414,1.1470
20210415,1.1471
20210416,1.1472
20210419,1.1691
20210420,1.1614
20210421,1.1581
20210422,1.1746
20210423,1.1806
20210426,1.1834
20210427,1.1807
20210428,1.1918
20210429,1.1916
20210430,1.1900
20210506,1.1791
20210507,1.1375
20210510,1.1290
20210511,1.1323
20210512,1.1438
20210513,1.1479
20210514,1.1704
20210517,1.1960
20210518,1.1894
20210519,1.1935
20210520,1.1936
20210521,1.1937
20210524,1.1938
20210525,1.1939
20210526,1.1940
20210527,1.1940
20210528,1.1941
20210531,1.1942
20210601,1.1943
20210602,1.1944
20210603,1.1945
20210604,1.1946
20210607,1.1947
20210608,1.1948
20210609,1.1949
20210610,1.1950
20210611,1.1951
20210615,1.1952
20210616,1.1953
20210617,1.1954
20210618,1.1955
20210621,1.1956
20210622,1.1957
20210623,1.1958
20210624,1.1959
20210625,1.1959
20210628,1.1960
20210629,1.1961
20210630,1.1962
20210701,1.1963
20210702,1.1964
20210705,1.1965
20210706,1.1966
20210707,1.1967
20210708,1.1968
20210709,1.1969
20210712,1.1970
20210713,1.1971
20210714,1.1972
20210715,1.1973
20210716,1.1974
20210719,1.1975
20210720,1.1976
20210721,1.1977
20210722,1.1978
20210723,1.1978
20210726,1.1979
20210727,1.1980
20210728,1.1981
20210729,1.1982
20210730,1.1983
20210802,1.1984
20210803,1.1985
20210804,1.1986
20210805,1.1987
20210806,1.1988
20210809,1.1989
20210810,1.1990
20210811,1.1991
20210812,1.1992
20210813,1.1993
20210816,1.1994
20210817,1.1995
20210818,1.1996
20210819,1.1997
20210820,1.1997
20210823,1.1998
20210824,1.1999
20210825,1.2000
20210826,1.2001
20210827,1.2002
20210830,1.2003
20210831,1.2004
20210901,1.2005
20210902,1.2006
20210903,1.2007
20210906,1.2008
20210907,1.2009
20210908,1.2010
20210909,1.2011
20210910,1.2012
20210913,1.2013
20210914,1.2014
20210915,1.2015
20210916,1.2016
20210917,1.2017
20210922,1.2018
20210923,1.2018
20210924,1.2019
20210927,1.1964
20210928,1.1837
20210929,1.1764
20210930,1.1965
20211008,1.1927
20211011,1.1799
20211012,1.1533
20211013,1.1755
20211014,1.1777
20211015,1.1916
20211018,1.1823
20211019,1.1948
20211020,1.2007
20211021,1.1909
20211022,1.1959
20211025,1.2066
20211026,1.2029
20211027,1.1904
20211028,1.1857
20211029,1.2205
20211101,1.2206
20211102,1.2207
20211103,1.2208
20211104,1.2209
20211105,1.2210
20211108,1.2211
20211109,1.2212
20211110,1.2212
20211111,1.2213
20211112,1.2214
20211115,1.2215
20211116,1.2216
20211117,1.2217
20211118,1.2218
20211119,1.2219
20211122,1.2220
20211123,1.2221
20211124,1.2222
20211125,1.2223
20211126,1.2224
20211129,1.2225
20211130,1.2226
20211201,1.2227
20211202,1.2228
20211203,1.2229
20211206,1.2230
20211207,1.2231
20211208,1.2232
20211209,1.2233
20211210,1.2234
20211213,1.2235
20211214,1.2236
20211215,1.2237
20211216,1.2238
20211217,1.2239
20211220,1.2240
20211221,1.2241
20211222,1.2242
20211223,1.2243
20211224,1.2244
20211227,1.2245
20211228,1.2245
20211229,1.2246
20211230,1.2247
20211231,1.2248
20220104,1.2249
20220105,1.2250
20220106,1.2251
20220107,1.2252
20220110,1.2253
20220111,1.2254
20220112,1.2255
20220113,1.2256
20220114,1.2257
20220117,1.2258
20220118,1.2259
20220119,1.2260
20220120,1.2261
20220121,1.2262
20220124,1.2263
20220125,1.2264
20220126,1.2265
20220127,1.2266
20220128,1.2267
20220207,1.2268
20220208,1.2269
20220209,1.2270
20220210,1.2271
20220211,1.2272
20220214,1.2273
20220215,1.2274
20220216,1.2275
20220217,1.2380
20220218,1.2344
20220221,1.2234
20220222,1.2135
20220223,1.2618
20220224,1.2453
20220225,1.2719
20220228,1.2808
20220301,1.2700
20220302,1.2610
20220303,1.2400
20220304,1.2331
20220307,1.1992
20220308,1.1655
20220309,1.1579
20220310,1.1822
20220311,1.1902
20220314,1.1544
20220315,1.1207
20220316,1.1536
20220317,1.1537
20220318,1.1538
20220321,1.1618
20220322,1.1437
20220323,1.1535
20220324,1.1439
