date,value
20050407,1.007394
20050408,1.025173
20050411,1.011175
20050412,0.997266
20050413,1.017009
20050414,1.007414
20050415,0.996575
20050418,0.996575
20050419,0.996575
20050420,0.996575
20050421,0.996575
20050422,0.996575
20050425,0.996575
20050426,0.996575
20050427,0.996575
20050428,0.996575
20050429,0.996575
20050509,0.996575
20050510,0.996575
20050511,0.996575
20050512,0.996575
20050513,0.996575
20050516,0.996575
20050517,0.996575
20050518,0.996575
20050519,0.996575
20050520,0.996575
20050523,0.996575
20050524,0.996575
20050525,0.996575
20050526,0.996575
20050527,0.996575
20050530,0.996575
20050531,0.996575
20050601,0.996575
20050602,0.996575
20050603,0.996575
20050606,0.996575
20050607,0.996575
20050608,0.996575
20050609,0.996575
20050610,0.996575
20050613,0.996575
20050614,0.996575
20050615,0.996575
20050616,0.996575
20050617,0.996575
20050620,0.996575
20050621,0.996575
20050622,0.996575
20050623,0.996575
20050624,0.996575
20050627,0.996575
20050628,0.996575
20050629,0.996575
20050630,0.996575
20050701,0.996575
20050704,0.996575
20050705,0.996575
20050706,0.996575
20050707,0.996575
20050708,0.996575
20050711,0.996575
20050712,0.996575
20050713,0.996575
20050714,0.996575
20050715,0.996575
20050718,0.996575
20050719,0.996575
20050720,0.996575
20050721,0.996575
20050722,0.996575
20050725,0.992312
20050726,1.014678
20050727,1.035694
20050728,1.034753
20050729,1.031697
20050801,1.035019
20050802,1.045981
20050803,1.052779
20050804,1.046922
20050805,1.068248
20050808,1.072954
20050809,1.076320
20050810,1.081934
20050811,1.101743
20050812,1.088323
20050815,1.114476
20050816,1.099041
20050817,1.105962
20050818,1.078701
20050819,1.081170
20050822,1.090903
20050823,1.085145
20050824,1.092309
20050825,1.087503
20050826,1.082421
20050829,1.067805
20050830,1.065325
20050831,1.076741
20050901,1.093361
20050902,1.094247
20050905,1.096029
20050906,1.083008
20050907,1.097790
20050908,1.101964
20050909,1.095575
20050912,1.094103
20050913,1.108088
20050914,1.114211
20050915,1.113480
20050916,1.110656
20050919,1.111177
20050920,1.102418
20050921,1.081945
20050922,1.062280
20050923,1.056555
20050926,1.057640
20050927,1.043047
20050928,1.043047
20050929,1.043047
20050930,1.046035
20051010,1.038074
20051011,1.038074
20051012,1.039562
20051013,1.032054
20051014,1.032054
20051017,1.032054
20051018,1.032054
20051019,1.032054
20051020,1.032054
20051021,1.032054
20051024,1.032054
20051025,1.032054
20051026,1.032054
20051027,1.032054
20051028,1.032054
20051031,1.032054
20051101,1.032054
20051102,1.032054
20051103,1.032054
20051104,1.032054
20051107,1.032054
20051108,1.032054
20051109,1.032054
20051110,1.032054
20051111,1.032054
20051114,1.032054
20051115,1.032054
20051116,1.032054
20051117,1.032054
20051118,1.032054
20051121,1.032054
20051122,1.032054
20051123,1.032054
20051124,1.032054
20051125,1.032054
20051128,1.032054
20051129,1.032054
20051130,1.032054
20051201,1.032054
20051202,1.032054
20051205,1.032054
20051206,1.032054
20051207,1.032054
20051208,1.032054
20051209,1.032054
20051212,1.032054
20051213,1.032054
20051214,1.032054
20051215,1.030072
20051216,1.037830
20051219,1.039332
20051220,1.043072
20051221,1.040034
20051222,1.047747
20051223,1.054569
20051226,1.061737
20051227,1.058999
20051228,1.063540
20051229,1.087758
20051230,1.079133
20060104,1.100491
20060105,1.124041
20060106,1.137308
20060109,1.138989
20060110,1.145588
20060111,1.138855
20060112,1.149183
20060113,1.139890
20060116,1.122884
20060117,1.126512
20060118,1.147903
20060119,1.158399
20060120,1.161927
20060123,1.163530
20060124,1.166457
20060125,1.176796
20060206,1.210419
20060207,1.209985
20060208,1.209941
20060209,1.194760
20060210,1.209585
20060213,1.211065
20060214,1.219390
20060215,1.224020
20060216,1.201226
20060217,1.207136
20060220,1.211844
20060221,1.231778
20060222,1.232746
20060223,1.235573
20060224,1.243508
20060227,1.246680
20060228,1.250921
20060301,1.251900
20060302,1.226747
20060303,1.234337
20060306,1.229040
20060307,1.200759
20060308,1.190108
20060309,1.184465
20060310,1.190942
20060313,1.206324
20060314,1.204743
20060315,1.218722
20060316,1.215150
20060317,1.209485
20060320,1.228606
20060321,1.231766
20060322,1.242251
20060323,1.242117
20060324,1.234749
20060327,1.243720
20060328,1.250375
20060329,1.265189
20060330,1.257153
20060331,1.264432
20060403,1.287271
20060404,1.299691
20060405,1.310354
20060406,1.309597
20060407,1.302752
20060410,1.318367
20060411,1.327750
20060412,1.317610
20060413,1.293559
20060414,1.324155
20060417,1.334483
20060418,1.348896
20060419,1.367015
20060420,1.362675
20060421,1.382085
20060424,1.375519
20060425,1.377489
20060426,1.385179
20060427,1.378012
20060428,1.392080
20060508,1.448352
20060509,1.472492
20060510,1.485614
20060511,1.477690
20060512,1.530167
20060515,1.593607
20060516,1.570134
20060517,1.573718
20060518,1.563122
20060519,1.596267
20060522,1.597958
20060523,1.544947
20060524,1.541686
20060525,1.540150
20060526,1.562955
20060529,1.610023
20060530,1.620886
20060531,1.599706
20060601,1.629556
20060602,1.601709
20060605,1.615076
20060606,1.609244
20060607,1.533038
20060608,1.542521
20060609,1.510590
20060612,1.523756
20060613,1.520551
20060614,1.498002
20060615,1.499527
20060616,1.537179
20060619,1.549744
20060620,1.552471
20060621,1.550379
20060622,1.548342
20060623,1.550490
20060626,1.576723
20060627,1.578403
20060628,1.578504
20060629,1.620563
20060630,1.626006
20060703,1.656980
20060704,1.647887
20060705,1.618805
20060706,1.644247
20060707,1.634364
20060710,1.638649
20060711,1.645182
20060712,1.647453
20060713,1.566472
20060714,1.582822
20060717,1.599828
20060718,1.594174
20060719,1.554931
20060720,1.560874
20060721,1.578159
20060724,1.579728
20060725,1.596879
20060726,1.594753
20060727,1.575510
20060728,1.559427
20060731,1.559427
20060801,1.559427
20060802,1.559427
20060803,1.559427
20060804,1.559427
20060807,1.559427
20060808,1.559427
20060809,1.559427
20060810,1.559427
20060811,1.559427
20060814,1.559427
20060815,1.559427
20060816,1.559427
20060817,1.559427
20060818,1.559427
20060821,1.559427
20060822,1.559427
20060823,1.559427
20060824,1.559427
20060825,1.559427
20060828,1.559427
20060829,1.563980
20060830,1.566629
20060831,1.570737
20060901,1.551457
20060904,1.573186
20060905,1.576949
20060906,1.583761
20060907,1.568110
20060908,1.574711
20060911,1.581624
20060912,1.587513
20060913,1.584485
20060914,1.585309
20060915,1.613973
20060918,1.622311
20060919,1.630570
20060920,1.634021
20060921,1.648125
20060922,1.635068
20060925,1.630103
20060926,1.607672
20060927,1.625672
20060928,1.645075
20060929,1.664967
20061009,1.707680
20061010,1.707925
20061011,1.705943
20061012,1.697250
20061013,1.703161
20061016,1.680507
20061017,1.677068
20061018,1.709561
20061019,1.711632
20061020,1.720771
20061023,1.689546
20061024,1.726003
20061025,1.742500
20061026,1.758797
20061027,1.739161
20061030,1.749647
20061031,1.775717
20061101,1.801265
20061102,1.799562
20061103,1.812063
20061106,1.850144
20061107,1.871284
20061108,1.849610
20061109,1.890798
20061110,1.874323
20061113,1.834649
20061114,1.858783
20061115,1.917035
20061116,1.921009
20061117,1.956631
20061120,2.010631
20061121,2.035666
20061122,2.042724
20061123,2.054390
20061124,2.050349
20061127,2.058019
20061128,2.049726
20061129,2.079348
20061130,2.149032
20061201,2.166821
20061204,2.231630
20061205,2.250320
20061206,2.227979
20061207,2.222446
20061208,2.149255
20061211,2.244565
20061212,2.264703
20061213,2.267163
20061214,2.300369
20061215,2.344495
20061218,2.424121
20061219,2.413835
20061220,2.426848
20061221,2.398328
20061222,2.388321
20061225,2.447119
20061226,2.445816
20061227,2.503768
20061228,2.499371
20061229,2.582047
20070104,2.615131
20070105,2.590652
20070108,2.637494
20070109,2.743981
20070110,2.821068
20070111,2.777821
