date,value
20090113,1.0000
20090114,1.0001
20090115,1.0002
20090116,1.0002
20090119,1.0003
20090120,1.0004
20090121,1.0005
20090122,1.0006
20090123,1.0006
20090202,1.0007
20090203,1.0008
20090204,1.0009
20090205,1.0010
20090206,1.0010
20090209,1.0011
20090210,1.0012
20090211,1.0013
20090212,1.0014
20090213,1.0014
20090216,1.0015
20090217,1.0016
20090218,1.0017
20090219,1.0017
20090220,1.0018
20090223,1.0019
20090224,1.0020
20090225,1.0021
20090226,1.0021
20090227,1.0022
20090302,1.0023
20090303,1.0024
20090304,1.0025
20090305,1.0025
20090306,1.0026
20090309,1.0027
20090310,1.0028
20090311,1.0029
20090312,1.0029
20090313,1.0030
20090316,1.0031
20090317,1.0032
20090318,1.0033
20090319,1.0033
20090320,1.0034
20090323,1.0035
20090324,1.0036
20090325,1.0037
20090326,1.0037
20090327,1.0038
20090330,1.0039
20090331,1.0040
20090401,1.0041
20090402,1.0041
20090403,1.0042
20090407,1.0043
20090408,1.0044
20090409,1.0045
20090410,1.0045
20090413,1.0046
20090414,1.0047
20090415,1.0048
20090416,1.0049
20090417,1.0049
20090420,1.0050
20090421,1.0051
20090422,1.0052
20090423,1.0053
20090424,1.0053
20090427,1.0054
20090428,1.0055
20090429,1.0056
20090430,1.0057
20090504,1.0057
20090505,1.0058
20090506,1.0059
20090507,1.0060
20090508,1.0060
20090511,1.0061
20090512,1.0062
20090513,1.0063
20090514,1.0064
20090515,1.0064
20090518,1.0065
20090519,1.0066
20090520,1.0067
20090521,1.0068
20090522,1.0068
20090525,1.0069
20090526,1.0070
20090527,1.0071
20090601,1.0072
20090602,1.0072
20090603,1.0073
20090604,1.0074
20090605,1.0075
20090608,1.0076
20090609,1.0076
20090610,1.0077
20090611,1.0078
20090612,1.0079
20090615,1.0080
20090616,1.0080
20090617,1.0081
20090618,1.0082
20090619,1.0083
20090622,1.0084
20090623,1.0084
20090624,1.0085
20090625,1.0086
20090626,1.0087
20090629,1.0088
20090630,1.0088
20090701,1.0089
20090702,1.0090
20090703,1.0091
20090706,1.0092
20090707,1.0092
20090708,1.0093
20090709,1.0094
20090710,1.0095
20090713,1.0096
20090714,1.0096
20090715,1.0097
20090716,1.0098
20090717,1.0099
20090720,1.0100
20090721,1.0100
20090722,1.0101
20090723,1.0102
20090724,1.0103
20090727,1.0104
20090728,1.0105
20090729,1.0105
20090730,1.0106
20090731,1.0107
20090803,1.0108
20090804,1.0109
20090805,1.0109
20090806,1.0110
20090807,1.0111
20090810,1.0112
20090811,1.0113
20090812,1.0113
20090813,1.0114
20090814,1.0115
20090817,1.0116
20090818,1.0117
20090819,1.0117
20090820,1.0118
20090821,1.0119
20090824,1.0120
20090825,1.0121
20090826,1.0121
20090827,1.0122
20090828,1.0123
20090831,1.0124
20090901,1.0125
20090902,1.0125
20090903,1.0126
20090904,1.0127
20090907,1.0128
20090908,1.0129
20090909,1.0129
20090910,1.0130
20090911,1.0131
20090914,1.0132
20090915,1.0133
20090916,1.0133
20090917,1.0134
20090918,1.0135
20090921,1.0136
20090922,1.0137
20090923,1.0137
20090924,1.0138
20090925,1.0139
20090928,1.0140
20090929,1.0141
20090930,1.0141
20091009,1.0142
20091012,1.0143
20091013,1.0144
20091014,1.0145
20091015,1.0145
20091016,1.0146
20091019,1.0147
20091020,1.0148
20091021,1.0149
20091022,1.0150
20091023,1.0150
20091026,1.0151
20091027,1.0152
20091028,1.0153
20091029,1.0154
20091030,1.0154
20091102,1.0155
20091103,1.0156
20091104,1.0157
20091105,1.0158
20091106,1.0158
20091109,1.0159
20091110,1.0160
20091111,1.0161
20091112,1.0162
20091113,1.0162
20091116,1.0163
20091117,1.0164
20091118,1.0165
20091119,1.0166
20091120,1.0166
20091123,1.0167
20091124,1.0168
20091125,1.0169
20091126,1.0170
20091127,1.0170
20091130,1.0171
20091201,1.0172
20091202,1.0173
20091203,1.0174
20091204,1.0175
20091207,1.0175
20091208,1.0176
20091209,1.0177
20091210,1.0178
20091211,1.0179
20091214,1.0179
20091215,1.0180
20091216,1.0181
20091217,1.0182
20091218,1.0183
20091221,1.0183
20091222,1.0184
20091223,1.0185
20091224,1.0186
20091225,1.0187
20091228,1.0187
20091229,1.0188
20091230,1.0189
20091231,1.0190
20100104,1.0191
20100105,1.0191
20100106,1.0192
20100107,1.0193
20100108,1.0194
20100111,1.0195
20100112,1.0196
20100113,1.0196
20100114,1.0197
20100115,1.0198
20100118,1.0199
20100119,1.0200
20100120,1.0200
20100121,1.0241
20100122,1.0075
20100125,0.9958
20100126,0.9664
20100127,0.9549
20100128,0.9605
20100129,0.9620
20100201,0.9480
20100202,0.9449
20100203,0.9674
20100204,0.9671
20100205,0.9470
20100208,0.9465
20100209,0.9507
20100210,0.9638
20100211,0.9647
20100212,0.9749
20100222,0.9710
20100223,0.9653
20100224,0.9810
20100225,0.9958
20100226,0.9936
20100301,1.0061
20100302,1.0034
20100303,1.0124
20100304,0.9840
20100305,0.9871
20100308,0.9957
20100309,1.0005
20100310,0.9913
20100311,0.9886
20100312,0.9750
20100315,0.9616
20100316,0.9683
20100317,0.9909
20100318,0.9902
20100319,0.9980
20100322,1.0014
20100323,0.9936
20100324,0.9951
20100325,0.9810
20100326,0.9950
20100329,1.0159
20100330,1.0188
20100331,1.0147
20100401,1.0290
20100402,1.0334
20100406,1.0335
20100407,1.0299
20100408,1.0300
20100409,1.0301
20100412,1.0302
20100413,1.0302
20100414,1.0303
20100415,1.0304
20100416,1.0305
20100419,1.0306
20100420,1.0307
20100421,1.0307
20100422,1.0308
