date,value
20140102,5667.88
20140103,5668.34
20140106,5668.79
20140107,5669.24
20140108,5669.70
20140109,5670.15
20140110,5670.60
20140113,5671.06
20140114,5671.51
20140115,5671.97
20140116,5672.42
20140117,5672.87
20140120,5673.33
20140121,5673.78
20140122,5674.23
20140123,5674.69
20140124,5675.14
20140127,5675.60
20140128,5676.05
20140129,5676.50
20140130,5676.96
20140207,5677.41
20140210,5677.87
20140211,5678.32
20140212,5678.78
20140213,5679.23
20140214,5679.68
20140217,5680.14
20140218,5680.59
20140219,5681.05
20140220,5681.50
20140221,5681.96
20140224,5682.41
20140225,5682.87
20140226,5683.32
20140227,5683.78
20140228,5684.23
20140303,5684.68
20140304,5685.14
20140305,5685.59
20140306,5686.05
20140307,5686.50
20140310,5686.96
20140311,5687.41
20140312,5687.87
20140313,5688.32
20140314,5688.78
20140317,5689.23
20140318,5689.69
20140319,5690.14
20140320,5690.60
20140321,5691.05
20140324,5691.51
20140325,5691.97
20140326,5692.42
20140327,5692.88
20140328,5693.33
20140331,5693.79
20140401,5694.24
20140402,5694.70
20140403,5695.15
20140404,5695.61
20140408,5696.06
20140409,5696.52
20140410,5696.98
20140411,5697.43
20140414,5697.89
20140415,5698.34
20140416,5698.80
20140417,5699.26
20140418,5699.71
20140421,5700.17
20140422,5700.62
20140423,5701.08
20140424,5701.54
20140425,5701.99
20140428,5702.45
20140429,5702.90
20140430,5703.36
20140505,5703.82
20140506,5704.27
20140507,5704.73
20140508,5705.19
20140509,5705.19
20140512,5832.63
20140513,5825.68
20140514,5820.00
20140515,5762.95
20140516,5764.54
20140519,5707.44
20140520,5706.71
20140521,5750.98
20140522,5741.65
20140523,5780.02
20140526,5807.76
20140527,5785.71
20140528,5827.09
20140529,5789.77
20140530,5767.71
20140603,5762.94
20140604,5707.99
20140605,5766.17
20140606,5740.68
20140609,5732.22
20140610,5796.70
20140611,5811.23
20140612,5775.80
20140613,5838.62
20140616,5889.62
20140617,5846.01
20140618,5802.15
20140619,5708.28
20140620,5733.90
20140623,5733.71
20140624,5766.84
20140625,5742.66
20140626,5794.48
20140627,5815.37
20140630,5855.23
20140701,5852.83
20140702,5895.69
20140703,5934.75
20140704,5926.58
20140707,5926.60
20140708,5949.04
20140709,5870.14
20140710,5865.57
20140711,5902.72
20140714,5986.57
20140715,5989.44
20140716,5993.43
20140717,5966.36
20140718,5994.06
20140721,5981.87
20140722,6034.59
20140723,6057.10
20140724,6130.33
20140725,6196.29
20140728,6332.53
20140729,6348.72
20140730,6298.43
20140731,6370.49
20140801,6343.45
20140804,6431.88
20140805,6425.44
20140806,6428.02
20140807,6353.05
20140808,6378.38
20140811,6457.39
20140812,6454.83
20140813,6467.21
20140814,6430.51
20140815,6483.53
20140818,6520.03
20140819,6517.99
20140820,6505.26
20140821,6483.07
20140822,6517.05
20140825,6477.07
20140826,6422.89
20140827,6419.64
20140828,6367.39
20140829,6452.56
20140901,6502.16
20140902,6604.87
20140903,6648.85
20140904,6703.86
20140905,6773.54
20140909,6782.30
20140910,6753.18
20140911,6707.39
20140912,6749.56
20140915,6766.57
20140916,6634.94
20140917,6681.91
20140918,6695.88
20140919,6740.12
20140922,6626.38
20140923,6685.67
20140924,6778.64
20140925,6809.91
20140926,6813.02
20140929,6841.73
20140930,6857.59
20141008,6904.43
20141009,6914.94
20141010,6848.74
20141013,6812.44
20141014,6805.88
20141015,6849.30
20141016,6814.54
20141017,6760.22
20141020,6803.69
20141021,6774.94
20141022,6742.38
20141023,6655.03
20141024,6641.17
20141027,6607.70
20141028,6749.11
20141029,6877.48
20141030,6953.71
20141031,7062.35
20141103,7092.54
20141104,7088.75
20141105,7035.87
20141106,7059.10
20141107,7029.60
20141110,7204.16
20141111,7154.65
20141112,7253.25
20141113,7203.61
20141114,7196.45
20141117,7181.95
20141118,7103.23
20141119,7074.14
20141120,7085.34
20141121,7176.31
20141124,7280.85
20141125,7398.17
20141126,7446.75
20141127,7471.04
20141128,7642.78
20141201,7639.83
20141202,7851.47
20141203,7897.45
20141204,8185.06
20141205,8191.10
20141208,8385.84
20141209,8005.34
20141210,8344.28
20141211,8374.54
20141212,8365.16
20141215,8422.28
20141216,8571.39
20141217,8707.08
20141218,8663.37
20141219,8884.78
20141222,9058.17
20141223,8758.72
20141224,8601.99
20141225,8880.54
20141226,9071.04
20141229,9073.46
20141230,9019.51
20141231,9224.90
20150105,9587.59
20150106,9612.89
20150107,9572.31
20150108,9340.83
